school,sbt,art,total
West Virginia,583.88,592.12,1176.00
TCU,583.20,592.33,1175.53
Murray St.,581.60,591.22,1172.82
Air Force,577.33,590.47,1167.80
Ohio State,576.31,589.97,1166.28
Alaska Fairbanks,577.52,588.39,1165.91
Kentucky,577.25,588.66,1165.91
Nebraska,574.65,588.22,1162.87
Nevada,573.25,587.42,1160.67
Army,574.75,585.49,1160.24
North Carolina St.,573.15,586.17,1159.32
Ole Miss,571.37,585.63,1157.00
Memphis,573.03,583.70,1156.73
Jacksonville St.,572.60,582.95,1155.55
Navy,571.72,582.74,1154.46
Akron,571.43,579.88,1151.31
Morehead St.,569.18,580.28,1149.46
UTEP,563.72,580.56,1144.28
UT Martin,564.26,575.80,1140.06
North Georgia,562.41,573.29,1135.70
UT Martin (W),558.33,568.38,1126.71
VMI,550.76,568.25,1119.01
Citadel,547.27,570.00,1117.27
Ga. Southern,542.79,567.97,1110.76
Coast Guard,542.98,557.31,1100.29
VMI (W),537.28,558.48,1095.76
John Jay,520.69,556.00,1076.69
USciences,536.20,537.67,1073.87
Wofford,524.05,542.06,1066.11
Citadel (W),509.40,540.40,1049.80
MIT,509.49,529.80,1039.29
