         name          |        team        |  art   |  arc  | n  
-----------------------+--------------------+--------+-------+----
 Mindy Miles           | TCU                | 596.82 | 52.00 | 11
 Ginny Thrasher        | West Virginia      | 596.00 | 49.00 | 10
 Sagen Maddalena       | Alaska Fairbanks   | 595.82 | 48.57 | 11
 Lucas Kozeniesky      | North Carolina St. | 595.00 | 46.17 | 13
 Milica Babic          | West Virginia      | 594.83 | 48.67 | 12
 Heather Kirby         | Kentucky           | 594.58 | 44.33 | 12
 Ivan Roe              | Murray St.         | 594.10 | 45.67 | 10
 Rachel Garner         | TCU                | 593.92 | 43.60 | 12
 Mackenzie Martin      | Murray St.         | 593.09 | 42.33 | 11
 Elizabeth Gratz       | West Virginia      | 592.83 | 43.67 | 12
 Spencer Cap           | Air Force          | 592.75 | 44.33 | 12
 Alathea Sellars       | Murray St.         | 592.50 | 42.00 | 10
 Lauren Phillips       | North Carolina St. | 592.46 | 44.50 | 13
 Brandon Muske         | Jacksonville St.   | 592.08 | 47.00 | 13
 Ali Weisz             | Ole Miss           | 592.00 | 45.75 | 12
 Dacotah Faught        | Nebraska           | 592.00 | 44.75 | 12
 Ryan Jacobs           | Air Force          | 592.00 | 45.67 | 12
 Sally Li              | TCU                | 591.75 | 47.20 | 12
 Rhiann Travis         | Ohio State         | 591.67 | 44.67 | 15
 Casey Lutz            | TCU                | 591.17 | 45.75 | 12
 Logan Ogden           | Air Force          | 591.08 | 35.75 | 12
 Drew Cheezum          | Ohio State         | 591.07 | 42.00 | 15
 Mitchell Van Patten   | Nevada             | 590.80 | 40.50 | 10
 Anna Weilbacher       | Air Force          | 590.50 | 42.67 | 12
 Jean-Pierre Lucas     | West Virginia      | 590.42 | 46.33 | 12
 Michael Steinel       | Ohio State         | 590.07 | 40.33 | 15
 Rachel Martin         | Nebraska           | 589.92 | 44.25 | 12
 Catherine Miller      | TCU                | 589.83 | 43.00 | 12
 Ben Estes             | Murray St.         | 589.60 | 39.33 | 10
 Cathryn Papasodora    | Kentucky           | 589.20 | 40.50 | 10
 Jacob Buchanan        | Ohio State         | 589.00 | 36.25 | 14
 Bobby Broadstreet     | Murray St.         | 588.91 | 40.67 | 11
 Billy Azzinaro        | Kentucky           | 588.83 | 45.00 | 12
 Mark Matheny          | Ohio State         | 588.80 | 43.00 | 15
 Sarah Jameson         | Nevada             | 588.70 | 44.00 | 10
 Nicole Hankey         | TCU                | 588.64 | 39.33 | 11
 Bailey Powell         | UTEP               | 588.40 | 40.00 | 10
 Marvin Lewis          | Army               | 588.36 | 40.13 | 11
 Soren Butler          | Alaska Fairbanks   | 588.36 | 39.43 | 11
 Emily Capaul          | Nevada             | 588.11 | 43.00 |  9
 Morgan Phillips       | West Virginia      | 588.09 | 42.00 | 11
 Dakota Spivey         | North Georgia      | 588.00 | 36.00 |  7
 Jess Haig             | Ole Miss           | 587.83 | 40.71 | 12
 Zach Strohl           | Akron              | 587.60 | 36.00 | 10
 Jaycee Carter         | Nebraska           | 587.58 | 36.50 | 12
 Jason Spaude          | Kentucky           | 587.58 | 38.00 | 12
 Josh Black            | Ohio State         | 587.47 | 38.75 | 15
 Barbara Schlapfer     | Murray St.         | 587.44 | 45.00 |  9
 Hanna Carr            | Kentucky           | 587.33 | 37.00 | 12
 Samantha Peterson     | Nebraska           | 586.67 | 38.00 | 12
 Danielle Cuomo        | Army               | 586.64 | 37.88 | 11
 Harley Gardner        | Ole Miss           | 586.58 | 37.38 | 12
 Spencer Brandon       | Air Force          | 586.50 | 40.33 | 12
 Sonya May             | Kentucky           | 586.33 | 40.67 | 12
 Leighton Dempster     | Memphis            | 586.33 | 38.00 | 12
 Jessica Kinder        | UTEP               | 586.33 | 42.00 |  6
 Meike Drewell         | Murray St.         | 586.25 | 33.00 |  8
 Haylea Broughton      | Memphis            | 585.92 | 33.50 | 12
 Barrett Ray           | TCU                | 585.91 | 41.33 | 11
 Luke Johnson          | Alaska Fairbanks   | 585.82 | 36.86 | 11
 Amy Hammer            | Navy               | 585.80 | 32.00 |  5
 Rachel Benesh         | Nevada             | 585.70 | 37.00 | 10
 Anthony Cuozzo        | Ohio State         | 585.57 |       |  7
 Jenna Bethea          | Kentucky           | 585.44 | 34.00 |  9
 JT Schnering          | Alaska Fairbanks   | 585.36 | 39.71 | 11
 Levi Clark            | Memphis            | 585.27 | 36.50 | 11
 Thomas Sarant         | Navy               | 585.20 | 41.00 | 10
 Nina Radulovic        | Nebraska           | 585.17 | 35.25 | 12
 Ariana Grabowski      | TCU                | 585.08 | 37.00 | 12
 Jordan Miller         | Nebraska           | 585.00 |       |  1
 Will Anti             | West Virginia      | 584.92 | 39.67 | 12
 Karly Potts           | Morehead St.       | 584.70 | 34.50 | 10
 Nick Learn            | Air Force          | 584.67 | 38.67 | 12
 Maddy Erikson         | Army               | 584.45 | 36.88 | 11
 Amy Fister            | Memphis            | 584.27 | 34.00 | 11
 Justin Nissen         | Nevada             | 584.22 | 32.00 |  9
 Kaitlin Korinek       | UT Martin          | 584.20 | 33.33 | 10
 Robert Scott          | Alaska Fairbanks   | 584.09 | 39.00 | 11
 Nathan Brewer         | Army               | 584.00 | 38.25 | 11
 Payne Nunn            | Army               | 584.00 | 36.88 | 11
 Daniel Jonas          | Navy               | 584.00 | 34.00 | 10
 Amy Gentry            | Alaska Fairbanks   | 583.91 | 34.43 | 11
 Caitlyn Ford          | North Carolina St. | 583.77 | 32.86 | 13
 Jason Scharbel        | Kentucky           | 583.58 | 34.00 | 12
 Kayla Gadeken         | Nebraska           | 583.50 | 34.33 | 10
 Carter Santrock       | Jacksonville St.   | 583.38 | 33.00 | 13
 Ian Foos              | Kentucky           | 583.33 | 34.00 |  9
 Hayley Carroll        | Ole Miss           | 583.08 | 34.63 | 12
 Claire Zanti          | North Carolina St. | 582.82 | 34.00 | 11
 Liam Eberhart         | Alaska Fairbanks   | 582.75 | 34.75 |  4
 Eli Larimer           | Nevada             | 582.70 | 47.00 | 10
 Hannah Virga          | Nebraska           | 582.67 | 31.00 |  3
