         name          |   type    | position |  avg  
-----------------------+-----------+----------+-------
 Ariana Grabowski      | smallbore | kneeling | 98.38
 Ivan Roe              | smallbore | kneeling | 98.30
 Sagen Maddalena       | smallbore | kneeling | 97.82
 Ginny Thrasher        | smallbore | kneeling | 97.50
 Barbara Schlapfer     | smallbore | kneeling | 97.39
 Rachel Garner         | smallbore | kneeling | 97.38
 Jean-Pierre Lucas     | smallbore | kneeling | 97.29
 Deanna Binnie         | smallbore | kneeling | 97.00
 Tyler Ramos           | smallbore | kneeling | 97.00
 Ryan Jacobs           | smallbore | kneeling | 96.88
 Elizabeth Gratz       | smallbore | kneeling | 96.88
 Nicole Hankey         | smallbore | kneeling | 96.88
 Joe Martin            | smallbore | kneeling | 96.80
 Logan Ogden           | smallbore | kneeling | 96.71
 Drew Cheezum          | smallbore | kneeling | 96.70
 Casey Lutz            | smallbore | kneeling | 96.67
 Mekenna Richardson    | smallbore | kneeling | 96.65
 Lucas Kozeniesky      | smallbore | kneeling | 96.65
 Amy Fister            | smallbore | kneeling | 96.64
 Mitchell Van Patten   | smallbore | kneeling | 96.60
 Morgan Phillips       | smallbore | kneeling | 96.58
 Anthony Cuozzo        | smallbore | kneeling | 96.50
 Anna Weilbacher       | smallbore | kneeling | 96.50
 Ben Estes             | smallbore | kneeling | 96.50
 Jason Spaude          | smallbore | kneeling | 96.46
 Hanna Carr            | smallbore | kneeling | 96.46
 Julia Hatch           | smallbore | kneeling | 96.45
 Bobby Broadstreet     | smallbore | kneeling | 96.45
 Jack Berhorst         | smallbore | kneeling | 96.45
 Joe Fischer           | smallbore | kneeling | 96.45
 Alli Kissell          | smallbore | kneeling | 96.40
 Liam Eberhart         | smallbore | kneeling | 96.40
 Jason Scharbel        | smallbore | kneeling | 96.38
 Sally Li              | smallbore | kneeling | 96.38
 Brandon Muske         | smallbore | kneeling | 96.35
 Mackenzie Martin      | smallbore | kneeling | 96.32
 Caleb Lloyd           | smallbore | kneeling | 96.30
 Levi Clark            | smallbore | kneeling | 96.27
 Samantha Peterson     | smallbore | kneeling | 96.25
 Jacob Buchanan        | smallbore | kneeling | 96.18
 Garrett Rabel         | smallbore | kneeling | 96.18
 Seth Baker            | smallbore | kneeling | 96.10
 Luke Johnson          | smallbore | kneeling | 96.09
 Spencer Cap           | smallbore | kneeling | 96.08
 Danielle Cuomo        | smallbore | kneeling | 96.05
 Will Marciniak        | smallbore | kneeling | 96.04
 Michael Steinel       | smallbore | kneeling | 96.00
 Meike Drewell         | smallbore | kneeling | 95.94
 Nina Radulovic        | smallbore | kneeling | 95.92
 David Sink            | smallbore | kneeling | 95.92
 Daniel Jonas          | smallbore | kneeling | 95.85
 Dan Hall              | smallbore | kneeling | 95.85
 Rachel Martin         | smallbore | kneeling | 95.83
 Zach Strohl           | smallbore | kneeling | 95.80
 Hannah Virga          | smallbore | kneeling | 95.75
 Alathea Sellars       | smallbore | kneeling | 95.69
 Billy Azzinaro        | smallbore | kneeling | 95.67
 Josh Watson           | smallbore | kneeling | 95.65
 Nathan Brewer         | smallbore | kneeling | 95.64
 Amy Hammer            | smallbore | kneeling | 95.60
 Soren Butler          | smallbore | kneeling | 95.59
 Payne Nunn            | smallbore | kneeling | 95.59
 Alexa Potts           | smallbore | kneeling | 95.55
 Rachel Kimbell        | smallbore | kneeling | 95.55
 Milica Babic          | smallbore | kneeling | 95.50
 Heather Kirby         | smallbore | kneeling | 95.46
 Amy Gentry            | smallbore | kneeling | 95.45
 JT Schnering          | smallbore | kneeling | 95.45
 Mindy Miles           | smallbore | kneeling | 95.45
 Barrett Ray           | smallbore | kneeling | 95.41
 Marvin Lewis          | smallbore | kneeling | 95.41
 Kendal Elder          | smallbore | kneeling | 95.38
 Mark Matheny          | smallbore | kneeling | 95.37
 Rachael Schoenrock    | smallbore | kneeling | 95.35
 Jesse Moyer           | smallbore | kneeling | 95.29
 Alex Muzzioli         | smallbore | kneeling | 95.25
