         name          |   type    | position |  avg  
 Nick Learn            | smallbore | kneeling | 95.25
 Lauren Phillips       | smallbore | kneeling | 95.23
 Allen Solida          | smallbore | kneeling | 95.11
 Trace Haynes          | smallbore | kneeling | 95.08
 Brandon Bryer         | smallbore | kneeling | 95.05
 Catherine Miller      | smallbore | kneeling | 95.05
 Ali Weisz             | smallbore | kneeling | 95.04
 Jess Haig             | smallbore | kneeling | 95.04
 Josh Black            | smallbore | kneeling | 95.03
 Sonya May             | smallbore | kneeling | 95.00
 Shelby Huber          | smallbore | kneeling | 95.00
 Sarah Hickey          | smallbore | kneeling | 95.00
 Rachel Yager          | smallbore | kneeling | 94.94
 Dakota Spivey         | smallbore | kneeling | 94.93
 Will Anti             | smallbore | kneeling | 94.92
 Austin Cock           | smallbore | kneeling | 94.89
 Haylea Broughton      | smallbore | kneeling | 94.88
 Eli Larimer           | smallbore | kneeling | 94.85
 Sarah Fink            | smallbore | kneeling | 94.83
 Caitlyn Ford          | smallbore | kneeling | 94.81
 Katie Bridges         | smallbore | kneeling | 94.80
 Rhiann Travis         | smallbore | kneeling | 94.79
 Makennon Doran        | smallbore | kneeling | 94.79
 Zach Schmidt          | smallbore | kneeling | 94.75
 Brendan Whitaker      | smallbore | kneeling | 94.75
 Karly Potts           | smallbore | kneeling | 94.67
 Jordan Miller         | smallbore | kneeling | 94.50
 Alana Kelly           | smallbore | kneeling | 94.50
 Mike Garner           | smallbore | kneeling | 94.50
 Carmen Fry            | smallbore | kneeling | 94.50
 Cathryn Papasodora    | smallbore | kneeling | 94.45
 Harley Gardner        | smallbore | kneeling | 94.42
 Carter Santrock       | smallbore | kneeling | 94.42
 Justin Nissen         | smallbore | kneeling | 94.35
 Mara Rouse            | smallbore | kneeling | 94.33
 Jennifer Plocinik     | smallbore | kneeling | 94.30
 Sarah Schnupp         | smallbore | kneeling | 94.28
 Bailey Powell         | smallbore | kneeling | 94.25
 Leighton Dempster     | smallbore | kneeling | 94.21
 Sean Roehrs           | smallbore | kneeling | 94.20
 Tobin Sanctuary       | smallbore | kneeling | 94.17
 Quintin Wotring       | smallbore | kneeling | 94.17
 Dacotah Faught        | smallbore | kneeling | 94.13
 Sarah Jameson         | smallbore | kneeling | 94.10
 Nash Richardson       | smallbore | kneeling | 94.06
 Kristyn Trump         | smallbore | kneeling | 94.05
 Bailey Urbach         | smallbore | kneeling | 94.00
 Kayla Gadeken         | smallbore | kneeling | 94.00
 Cierra Terrizzi       | smallbore | kneeling | 94.00
 Rachel Benesh         | smallbore | kneeling | 94.00
 Eli Rischling         | smallbore | kneeling | 93.96
 Alex Tamboli          | smallbore | kneeling | 93.95
 Grace Nelson          | smallbore | kneeling | 93.92
 Emily Capaul          | smallbore | kneeling | 93.90
 Kaitlin Korinek       | smallbore | kneeling | 93.90
 Claire Zanti          | smallbore | kneeling | 93.86
 Ruthanne Conner       | smallbore | kneeling | 93.83
 Sydney Goldschlag     | smallbore | kneeling | 93.83
 Cierra Holcombe       | smallbore | kneeling | 93.80
 Abby Monique          | smallbore | kneeling | 93.80
 Alyson Sylvester      | smallbore | kneeling | 93.80
 Jaycee Carter         | smallbore | kneeling | 93.71
 Nathan Taylor         | smallbore | kneeling | 93.60
 Ashley Coots          | smallbore | kneeling | 93.60
 Derya Pekari          | smallbore | kneeling | 93.59
 Ethan Cook            | smallbore | kneeling | 93.56
 Hayley Carroll        | smallbore | kneeling | 93.55
 Eric Sloan            | smallbore | kneeling | 93.50
 Andrew Abernathy      | smallbore | kneeling | 93.50
 Brandon Henson        | smallbore | kneeling | 93.50
 Emily Haag            | smallbore | kneeling | 93.50
 Amberlie Ezell        | smallbore | kneeling | 93.44
 Lily Graham           | smallbore | kneeling | 93.43
 Spencer Brandon       | smallbore | kneeling | 93.42
 Morgan Duerr          | smallbore | kneeling | 93.39
 Kestrel Kuhne         | smallbore | kneeling | 93.39
 Anthony Jackson       | smallbore | kneeling | 93.33
 Samantha Sandifer     | smallbore | kneeling | 93.31
 Brigitte Curcio       | smallbore | kneeling | 93.25
 Thomas Sarant         | smallbore | kneeling | 93.20
 Haley Wilson          | smallbore | kneeling | 93.17
 Jenna Bethea          | smallbore | kneeling | 93.17
 Robert Scott          | smallbore | kneeling | 93.14
 Hunter Behrends       | smallbore | kneeling | 93.13
 Haylee Schoenrock     | smallbore | kneeling | 93.06
 Connor O'Mara         | smallbore | kneeling | 93.05
 Libby Mostert         | smallbore | kneeling | 93.00
 Danielle Makucevich   | smallbore | kneeling | 93.00
 Colton Poole          | smallbore | kneeling | 92.96
 Emiliano Concha-Toro  | smallbore | kneeling | 92.94
 Sarah Sutton          | smallbore | kneeling | 92.93
 Rosemary Kramer       | smallbore | kneeling | 92.93
 Marina Noble          | smallbore | kneeling | 92.90
 Carleigh Peters       | smallbore | kneeling | 92.88
 Andrew Solomonides    | smallbore | kneeling | 92.75
 Lucas Figi            | smallbore | kneeling | 92.75
 Brianna Sawyers       | smallbore | kneeling | 92.70
 Randi Loudin          | smallbore | kneeling | 92.67
 Jared Rice            | smallbore | kneeling | 92.64
 Alex Bapties          | smallbore | kneeling | 92.64
 Maranda Nelson        | smallbore | kneeling | 92.56
 Jack Anderson         | smallbore | kneeling | 92.45
 Maddy Erikson         | smallbore | kneeling | 92.40
 Melanie West          | smallbore | kneeling | 92.38
 Kyle Ordille          | smallbore | kneeling | 92.38
 Brianna Shaw          | smallbore | kneeling | 92.36
 Nicholas Paisker      | smallbore | kneeling | 92.36
 Ian Foos              | smallbore | kneeling | 92.31
 Maggie Ehmann         | smallbore | kneeling | 92.29
 Lindsey Flint         | smallbore | kneeling | 92.25
 Anika Corsi           | smallbore | kneeling | 92.25
 Nick Reynolds         | smallbore | kneeling | 92.25
 David Turner          | smallbore | kneeling | 92.25
 Amanda Mayo           | smallbore | kneeling | 92.20
 Logan Hunt            | smallbore | kneeling | 92.13
 Maggie Guetersloh     | smallbore | kneeling | 92.10
 Jillian Tyler         | smallbore | kneeling | 92.05
 Andrew Hickey         | smallbore | kneeling | 92.00
 Patrick Sardo         | smallbore | kneeling | 92.00
 Zach Eisenberg        | smallbore | kneeling | 91.94
 Dylan Lorence         | smallbore | kneeling | 91.94
 Katie Brown           | smallbore | kneeling | 91.70
 Nicholle Benedict     | smallbore | kneeling | 91.63
 Andrew Miller         | smallbore | kneeling | 91.50
 Selina Curren         | smallbore | kneeling | 91.50
 Alexander McAlear     | smallbore | kneeling | 91.42
 Rebecca Green         | smallbore | kneeling | 91.33
 Andrew Visconti       | smallbore | kneeling | 91.33
 Nick Kanellis         | smallbore | kneeling | 91.31
 Maddie Korthas        | smallbore | kneeling | 91.30
 Chrissy Thomas        | smallbore | kneeling | 91.25
 Tori Lewis            | smallbore | kneeling | 91.21
 Alice Chiu            | smallbore | kneeling | 91.20
 Courtney Weekley      | smallbore | kneeling | 91.14
 Alexandria Harrington | smallbore | kneeling | 91.13
 Kera Kaufman          | smallbore | kneeling | 91.08
 Nick Zsoldos          | smallbore | kneeling | 91.06
 Patrick Meyer         | smallbore | kneeling | 91.00
 Zachary Johnson       | smallbore | kneeling | 90.94
 Rhianna Lichtenthal   | smallbore | kneeling | 90.86
 John Pitman           | smallbore | kneeling | 90.86
 Joshua Kovach         | smallbore | kneeling | 90.80
 Alex Fedorko          | smallbore | kneeling | 90.67
 George Williams       | smallbore | kneeling | 90.67
 Cullen Wargo          | smallbore | kneeling | 90.50
 Samantha Alexander    | smallbore | kneeling | 90.44
 Andre Delcalzo        | smallbore | kneeling | 90.38
 Lauryn Cinadr         | smallbore | kneeling | 90.33
 Jacob Dupree          | smallbore | kneeling | 90.31
 Claire Spina          | smallbore | kneeling | 90.30
 Lucas Gilliland       | smallbore | kneeling | 90.20
 Mathew Lusardi        | smallbore | kneeling | 90.17
 Kris Mantel           | smallbore | kneeling | 89.83
 William Davidson      | smallbore | kneeling | 89.70
 Tyler Lefebvre        | smallbore | kneeling | 89.67
 Ellana Avery          | smallbore | kneeling | 89.58
 Lilly Vonderau        | smallbore | kneeling | 89.50
 Kathryn Youngblood    | smallbore | kneeling | 89.50
 Loyce Lightfoot       | smallbore | kneeling | 89.50
 Lydia Odlin           | smallbore | kneeling | 89.33
 Randall Ford          | smallbore | kneeling | 89.27
 Marlee Reynolds       | smallbore | kneeling | 89.25
 Faith Totherow        | smallbore | kneeling | 89.18
 Kevin Ng              | smallbore | kneeling | 89.10
 Abby Votava           | smallbore | kneeling | 89.00
 Siarra Crum           | smallbore | kneeling | 89.00
 Allison Auten         | smallbore | kneeling | 88.71
 Jacob Hunter          | smallbore | kneeling | 88.60
 Richie Parra          | smallbore | kneeling | 88.60
 Melissa Brizzi        | smallbore | kneeling | 88.44
 Nyjah Turner          | smallbore | kneeling | 88.40
 Morgan Long           | smallbore | kneeling | 88.40
 Kelly Mathesius       | smallbore | kneeling | 88.22
 Ronald Kopec          | smallbore | kneeling | 88.07
 Chris Milliken        | smallbore | kneeling | 88.00
 Rachel Jankelow       | smallbore | kneeling | 87.67
 Dylan Modesitt        | smallbore | kneeling | 87.67
 Chastity Price        | smallbore | kneeling | 87.25
 Matthew Davenport     | smallbore | kneeling | 87.07
 Tommy Simrill         | smallbore | kneeling | 87.06
 Brandon Pippin        | smallbore | kneeling | 87.00
 Seth Flanagan         | smallbore | kneeling | 86.80
 Jesus Herrera         | smallbore | kneeling | 86.75
 Kelia Aardema         | smallbore | kneeling | 86.75
 Andrej Quatrone       | smallbore | kneeling | 86.67
 Katherine Watson      | smallbore | kneeling | 86.56
 Shadonna Littlejohn   | smallbore | kneeling | 86.44
 Carli Cline           | smallbore | kneeling | 86.28
 Matt Popowicz         | smallbore | kneeling | 86.11
 Angela Kang           | smallbore | kneeling | 86.11
 Allie Tuman           | smallbore | kneeling | 85.79
 Marshall Grant        | smallbore | kneeling | 85.59
 Joseph Ferguson       | smallbore | kneeling | 85.36
 Gregory Lee           | smallbore | kneeling | 85.25
 Kyle Cox              | smallbore | kneeling | 85.25
 Angelica Dearaujo     | smallbore | kneeling | 85.07
 Nicholas Hunter       | smallbore | kneeling | 85.00
 Leah Fenwrick-Wallace | smallbore | kneeling | 84.86
 Jennifer Middlebrook  | smallbore | kneeling | 84.50
 Raven Wills           | smallbore | kneeling | 84.31
 Zachry Hunter         | smallbore | kneeling | 84.25
 Lauren Stabler        | smallbore | kneeling | 84.20
 Rachel Hubal          | smallbore | kneeling | 84.07
 William Caruso        | smallbore | kneeling | 83.81
 David Rose            | smallbore | kneeling | 83.75
 George Conde          | smallbore | kneeling | 83.50
 Marc Suda             | smallbore | kneeling | 83.38
 Reid Schuster         | smallbore | kneeling | 83.13
 Brandi Duzz           | smallbore | kneeling | 82.86
 Gavin Asbury          | smallbore | kneeling | 82.50
 Ida Sato              | smallbore | kneeling | 80.93
 Kevin Petrovic        | smallbore | kneeling | 80.67
 Thomas Rick           | smallbore | kneeling | 80.06
 Kerrie Lightfoot      | smallbore | kneeling | 79.75
 Alex Pacheco          | smallbore | kneeling | 79.50
 Tierra Price          | smallbore | kneeling | 77.94
 Alexander Laiman      | smallbore | kneeling | 77.75
 Joel Solis            | smallbore | kneeling | 77.17
 Elijah Miller         | smallbore | kneeling | 75.30
 Susana Sanchez        | smallbore | kneeling | 74.00
 Chris Makosiej        | smallbore | kneeling | 73.75
 Efraim Helman         | smallbore | kneeling | 73.00
 Christina Tipton      | smallbore | kneeling | 69.83
 Nick Makosiej         | smallbore | kneeling | 69.50
 Brittany Mahoney      | smallbore | kneeling | 66.50
 Yaakov Helman         | smallbore | kneeling | 62.50
 Anita Varkey          | smallbore | kneeling | 61.33
 Thomas Nelligan       | smallbore | kneeling | 30.50
 Ginny Thrasher        | smallbore | prone    | 99.65
 Joe Martin            | smallbore | prone    | 99.55
 Katie Bridges         | smallbore | prone    | 99.50
 Jean-Pierre Lucas     | smallbore | prone    | 99.25
 Sagen Maddalena       | smallbore | prone    | 99.23
 Ariana Grabowski      | smallbore | prone    | 99.21
 Mackenzie Martin      | smallbore | prone    | 99.18
 Hanna Carr            | smallbore | prone    | 99.17
 Rachel Garner         | smallbore | prone    | 99.17
 Mindy Miles           | smallbore | prone    | 99.09
 Amy Fister            | smallbore | prone    | 99.05
 Joe Fischer           | smallbore | prone    | 99.00
 Randi Loudin          | smallbore | prone    | 99.00
 Zach Strohl           | smallbore | prone    | 98.95
 Levi Clark            | smallbore | prone    | 98.95
 Dacotah Faught        | smallbore | prone    | 98.92
 Bobby Broadstreet     | smallbore | prone    | 98.91
 Caleb Lloyd           | smallbore | prone    | 98.90
 Deanna Binnie         | smallbore | prone    | 98.90
 Ivan Roe              | smallbore | prone    | 98.90
 Quintin Wotring       | smallbore | prone    | 98.89
 Anna Weilbacher       | smallbore | prone    | 98.88
 Elizabeth Gratz       | smallbore | prone    | 98.88
 Will Anti             | smallbore | prone    | 98.88
 Jack Berhorst         | smallbore | prone    | 98.85
 Jason Scharbel        | smallbore | prone    | 98.83
 Sally Li              | smallbore | prone    | 98.83
 Billy Azzinaro        | smallbore | prone    | 98.83
 Anthony Cuozzo        | smallbore | prone    | 98.81
 Harley Gardner        | smallbore | prone    | 98.79
 Samantha Peterson     | smallbore | prone    | 98.79
 Meike Drewell         | smallbore | prone    | 98.78
 Milica Babic          | smallbore | prone    | 98.75
 Spencer Cap           | smallbore | prone    | 98.75
 Logan Ogden           | smallbore | prone    | 98.71
 Ryan Jacobs           | smallbore | prone    | 98.71
 Nash Richardson       | smallbore | prone    | 98.69
 Emiliano Concha-Toro  | smallbore | prone    | 98.67
 Morgan Phillips       | smallbore | prone    | 98.67
 Daniel Jonas          | smallbore | prone    | 98.65
 Heather Kirby         | smallbore | prone    | 98.63
 Mark Matheny          | smallbore | prone    | 98.63
 Mitchell Van Patten   | smallbore | prone    | 98.60
 Casey Lutz            | smallbore | prone    | 98.58
 Anthony Jackson       | smallbore | prone    | 98.56
 Carmen Fry            | smallbore | prone    | 98.56
 Barrett Ray           | smallbore | prone    | 98.55
 Nathan Brewer         | smallbore | prone    | 98.55
 Garrett Rabel         | smallbore | prone    | 98.55
 Ben Estes             | smallbore | prone    | 98.55
 Nina Radulovic        | smallbore | prone    | 98.54
 Barbara Schlapfer     | smallbore | prone    | 98.50
 Michael Steinel       | smallbore | prone    | 98.50
 Rachel Martin         | smallbore | prone    | 98.46
 Marvin Lewis          | smallbore | prone    | 98.45
 Soren Butler          | smallbore | prone    | 98.45
 Hayley Carroll        | smallbore | prone    | 98.45
 Lucas Kozeniesky      | smallbore | prone    | 98.42
 Jess Haig             | smallbore | prone    | 98.42
 Josh Black            | smallbore | prone    | 98.40
 Sonya May             | smallbore | prone    | 98.33
 Eli Rischling         | smallbore | prone    | 98.33
 Luke Johnson          | smallbore | prone    | 98.32
 Eli Larimer           | smallbore | prone    | 98.30
 Thomas Sarant         | smallbore | prone    | 98.30
 Payne Nunn            | smallbore | prone    | 98.27
 Danielle Cuomo        | smallbore | prone    | 98.27
 Lucas Figi            | smallbore | prone    | 98.25
 Trace Haynes          | smallbore | prone    | 98.25
 Kendal Elder          | smallbore | prone    | 98.25
 Brendan Whitaker      | smallbore | prone    | 98.25
 Nicole Hankey         | smallbore | prone    | 98.25
 Eric Sloan            | smallbore | prone    | 98.20
 Kayla Gadeken         | smallbore | prone    | 98.20
 Drew Cheezum          | smallbore | prone    | 98.20
 Dan Hall              | smallbore | prone    | 98.20
 Jason Spaude          | smallbore | prone    | 98.17
 Kestrel Kuhne         | smallbore | prone    | 98.17
 Connor O'Mara         | smallbore | prone    | 98.15
 Alathea Sellars       | smallbore | prone    | 98.13
 Josh Watson           | smallbore | prone    | 98.10
 Emily Capaul          | smallbore | prone    | 98.10
 Jillian Tyler         | smallbore | prone    | 98.09
 Ali Weisz             | smallbore | prone    | 98.08
 Shelby Huber          | smallbore | prone    | 98.08
 Spencer Brandon       | smallbore | prone    | 98.08
 Tobin Sanctuary       | smallbore | prone    | 98.08
 Ethan Cook            | smallbore | prone    | 98.06
 Ruthanne Conner       | smallbore | prone    | 98.04
 Mekenna Richardson    | smallbore | prone    | 98.04
 Kristyn Trump         | smallbore | prone    | 98.00
 Marina Noble          | smallbore | prone    | 98.00
 Cierra Terrizzi       | smallbore | prone    | 98.00
 Liam Eberhart         | smallbore | prone    | 98.00
 Seth Baker            | smallbore | prone    | 98.00
 Will Marciniak        | smallbore | prone    | 97.96
 Rachel Kimbell        | smallbore | prone    | 97.95
 Sarah Jameson         | smallbore | prone    | 97.95
 Emily Haag            | smallbore | prone    | 97.94
 Allen Solida          | smallbore | prone    | 97.94
 Tyler Ramos           | smallbore | prone    | 97.93
 Andrew Hickey         | smallbore | prone    | 97.93
 Catherine Miller      | smallbore | prone    | 97.91
 Morgan Duerr          | smallbore | prone    | 97.89
 Lauren Phillips       | smallbore | prone    | 97.88
 Alana Kelly           | smallbore | prone    | 97.83
 Robert Scott          | smallbore | prone    | 97.82
 Justin Nissen         | smallbore | prone    | 97.80
 Nick Learn            | smallbore | prone    | 97.79
 Jenna Bethea          | smallbore | prone    | 97.78
 Abby Monique          | smallbore | prone    | 97.75
 Chrissy Thomas        | smallbore | prone    | 97.75
 Rhiann Travis         | smallbore | prone    | 97.71
 Cathryn Papasodora    | smallbore | prone    | 97.70
 Brandon Bryer         | smallbore | prone    | 97.70
 Andrew Solomonides    | smallbore | prone    | 97.69
 JT Schnering          | smallbore | prone    | 97.68
 Derya Pekari          | smallbore | prone    | 97.68
 Claire Zanti          | smallbore | prone    | 97.68
 Zach Schmidt          | smallbore | prone    | 97.67
 Carter Santrock       | smallbore | prone    | 97.67
 David Sink            | smallbore | prone    | 97.63
 Bailey Urbach         | smallbore | prone    | 97.60
 Jaycee Carter         | smallbore | prone    | 97.58
 Zach Eisenberg        | smallbore | prone    | 97.56
 Alex Muzzioli         | smallbore | prone    | 97.55
 Libby Mostert         | smallbore | prone    | 97.50
 Rachel Yager          | smallbore | prone    | 97.50
 Bailey Powell         | smallbore | prone    | 97.50
 Haley Wilson          | smallbore | prone    | 97.50
 Kyle Ordille          | smallbore | prone    | 97.50
 Cullen Wargo          | smallbore | prone    | 97.50
 Lilly Vonderau        | smallbore | prone    | 97.50
 Jordan Miller         | smallbore | prone    | 97.50
 Rachael Schoenrock    | smallbore | prone    | 97.45
 Julia Hatch           | smallbore | prone    | 97.45
 Sarah Fink            | smallbore | prone    | 97.44
 Dakota Spivey         | smallbore | prone    | 97.43
 Grace Nelson          | smallbore | prone    | 97.42
 Jacob Buchanan        | smallbore | prone    | 97.39
 Melanie West          | smallbore | prone    | 97.38
 Andrew Miller         | smallbore | prone    | 97.38
 Carleigh Peters       | smallbore | prone    | 97.38
 Makennon Doran        | smallbore | prone    | 97.36
 Maddy Erikson         | smallbore | prone    | 97.35
 Haylea Broughton      | smallbore | prone    | 97.33
 Austin Cock           | smallbore | prone    | 97.33
 Amy Gentry            | smallbore | prone    | 97.32
 Zachary Johnson       | smallbore | prone    | 97.25
 Mathew Lusardi        | smallbore | prone    | 97.25
 Sarah Schnupp         | smallbore | prone    | 97.22
 Joshua Kovach         | smallbore | prone    | 97.20
 Jared Rice            | smallbore | prone    | 97.14
 Leighton Dempster     | smallbore | prone    | 97.13
 Jennifer Plocinik     | smallbore | prone    | 97.10
 Mike Garner           | smallbore | prone    | 97.09
 Maggie Ehmann         | smallbore | prone    | 97.07
 Ashley Coots          | smallbore | prone    | 97.05
 Kera Kaufman          | smallbore | prone    | 97.00
 Sarah Hickey          | smallbore | prone    | 97.00
 Amberlie Ezell        | smallbore | prone    | 96.94
 Rhianna Lichtenthal   | smallbore | prone    | 96.93
 Amy Hammer            | smallbore | prone    | 96.90
 Hunter Behrends       | smallbore | prone    | 96.88
 Alexandria Harrington | smallbore | prone    | 96.88
 Nick Kanellis         | smallbore | prone    | 96.88
 John Pitman           | smallbore | prone    | 96.86
 Alexa Potts           | smallbore | prone    | 96.85
 Kaitlin Korinek       | smallbore | prone    | 96.80
 Rachel Benesh         | smallbore | prone    | 96.75
 Brianna Sawyers       | smallbore | prone    | 96.70
 Alli Kissell          | smallbore | prone    | 96.70
 Katie Brown           | smallbore | prone    | 96.60
 Sydney Goldschlag     | smallbore | prone    | 96.58
 Brandon Muske         | smallbore | prone    | 96.58
 Kyle Cox              | smallbore | prone    | 96.50
 Nicholle Benedict     | smallbore | prone    | 96.50
 Nathan Taylor         | smallbore | prone    | 96.50
 Alex Tamboli          | smallbore | prone    | 96.50
 William Davidson      | smallbore | prone    | 96.50
 Karly Potts           | smallbore | prone    | 96.50
 Brigitte Curcio       | smallbore | prone    | 96.45
 Ian Foos              | smallbore | prone    | 96.44
 Lucas Gilliland       | smallbore | prone    | 96.35
 Dylan Lorence         | smallbore | prone    | 96.31
 Mara Rouse            | smallbore | prone    | 96.28
 Alex Fedorko          | smallbore | prone    | 96.25
 Kathryn Youngblood    | smallbore | prone    | 96.25
 Andrew Visconti       | smallbore | prone    | 96.22
 Haylee Schoenrock     | smallbore | prone    | 96.22
 Andrew Abernathy      | smallbore | prone    | 96.22
 Sarah Sutton          | smallbore | prone    | 96.21
 Claire Spina          | smallbore | prone    | 96.20
 Alice Chiu            | smallbore | prone    | 96.20
 David Turner          | smallbore | prone    | 96.19
 Hannah Virga          | smallbore | prone    | 96.13
 Chris Milliken        | smallbore | prone    | 96.00
 Marlee Reynolds       | smallbore | prone    | 96.00
 Lily Graham           | smallbore | prone    | 96.00
 Nick Reynolds         | smallbore | prone    | 96.00
 Maranda Nelson        | smallbore | prone    | 96.00
 Caitlyn Ford          | smallbore | prone    | 95.96
 Alex Bapties          | smallbore | prone    | 95.86
 Maggie Guetersloh     | smallbore | prone    | 95.70
 Samantha Sandifer     | smallbore | prone    | 95.69
 Alexander McAlear     | smallbore | prone    | 95.67
 Rosemary Kramer       | smallbore | prone    | 95.64
 Jack Anderson         | smallbore | prone    | 95.64
 Randall Ford          | smallbore | prone    | 95.62
 Amanda Mayo           | smallbore | prone    | 95.60
 Lydia Odlin           | smallbore | prone    | 95.58
 Jesse Moyer           | smallbore | prone    | 95.57
 Brianna Shaw          | smallbore | prone    | 95.57
 Andre Delcalzo        | smallbore | prone    | 95.56
 Selina Curren         | smallbore | prone    | 95.50
 Lauryn Cinadr         | smallbore | prone    | 95.50
 Sean Roehrs           | smallbore | prone    | 95.50
 Patrick Meyer         | smallbore | prone    | 95.50
 George Williams       | smallbore | prone    | 95.50
 Gavin Asbury          | smallbore | prone    | 95.50
 Morgan Long           | smallbore | prone    | 95.45
 Lindsey Flint         | smallbore | prone    | 95.44
 Kevin Ng              | smallbore | prone    | 95.40
 Maddie Korthas        | smallbore | prone    | 95.30
 Logan Hunt            | smallbore | prone    | 95.25
 Nicholas Paisker      | smallbore | prone    | 95.18
 Abby Votava           | smallbore | prone    | 95.17
 Alyson Sylvester      | smallbore | prone    | 95.10
 Jacob Hunter          | smallbore | prone    | 95.10
 Cierra Holcombe       | smallbore | prone    | 95.10
 Colton Poole          | smallbore | prone    | 94.96
 Samantha Alexander    | smallbore | prone    | 94.94
 Katherine Watson      | smallbore | prone    | 94.94
 Ellana Avery          | smallbore | prone    | 94.92
 Tori Lewis            | smallbore | prone    | 94.86
 Kris Mantel           | smallbore | prone    | 94.83
 Courtney Weekley      | smallbore | prone    | 94.79
 Marshall Grant        | smallbore | prone    | 94.73
 Siarra Crum           | smallbore | prone    | 94.69
 Kelly Mathesius       | smallbore | prone    | 94.61
 Brandon Henson        | smallbore | prone    | 94.50
 Tyler Lefebvre        | smallbore | prone    | 94.42
 Melissa Brizzi        | smallbore | prone    | 94.33
 Anika Corsi           | smallbore | prone    | 94.25
 Allison Auten         | smallbore | prone    | 94.25
 Patrick Sardo         | smallbore | prone    | 94.17
 Tommy Simrill         | smallbore | prone    | 94.00
 Ronald Kopec          | smallbore | prone    | 93.92
