         name          |   type    |  avg  
 Nyjah Turner          | air_rifle | 89.25
 Melissa Brizzi        | air_rifle | 88.81
 Eliza Kotowska        | air_rifle | 88.75
 Faith Totherow        | air_rifle | 88.65
 Angela Kang           | air_rifle | 88.07
 Joseph Busching       | air_rifle | 88.04
 Nick Zsoldos          | air_rifle | 88.00
 Joelle Henry          | air_rifle | 88.00
 Jennifer Middlebrook  | air_rifle | 88.00
 Marc Suda             | air_rifle | 87.81
 Steven Bugg           | air_rifle | 87.47
 Lauren Stabler        | air_rifle | 87.40
 David Rose            | air_rifle | 87.38
 Joel Solis            | air_rifle | 87.19
 William Caruso        | air_rifle | 86.94
 Kaden Nichols         | air_rifle | 86.89
 Reid Schuster         | air_rifle | 86.78
 Dylan Modesitt        | air_rifle | 86.72
 Allie Tuman           | air_rifle | 86.71
 George Conde          | air_rifle | 86.67
 Kelia Aardema         | air_rifle | 86.50
 Zachry Hunter         | air_rifle | 86.43
 Lindsey Hill          | air_rifle | 86.00
 Matt Popowicz         | air_rifle | 85.98
 Jamie Foster          | air_rifle | 84.94
 Rachel Hubal          | air_rifle | 84.59
 Thomas Rick           | air_rifle | 84.50
 Tierra Price          | air_rifle | 84.37
 Andrej Quatrone       | air_rifle | 84.25
 Jesus Herrera         | air_rifle | 83.89
 Alex Pacheco          | air_rifle | 83.48
 Alexander Laiman      | air_rifle | 82.63
 Anita Varkey          | air_rifle | 81.56
 Carson Howell         | air_rifle | 81.00
 Chris Makosiej        | air_rifle | 80.71
 Elijah Miller         | air_rifle | 80.17
 Efraim Helman         | air_rifle | 78.00
 Logan Short           | air_rifle | 77.83
 Yaakov Helman         | air_rifle | 77.00
 Nick Makosiej         | air_rifle | 76.67
 Kevin Petrovic        | air_rifle | 76.11
 Brittany Mahoney      | air_rifle | 74.92
 Christina Tipton      | air_rifle | 70.58
 Thomas Nelligan       | air_rifle | 52.67
(326 rows)

