name,team,p
Shelby Huber,Murray St.,31.828
Haley Wilson,Morehead St.,31.778
Alli Kissell,Ohio State,31.653
Sarah Nakata,Army,31.431
Carmen Fry,Kentucky,31.249
Chrissy Thomas,Ohio State,31.024
Connor O'Mara,Akron,30.998
Jack Anderson,West Virginia,30.879
Derya Pekari,North Carolina St.,30.832
Maneva Gill,Nevada,30.579
Rachael Schoenrock,UTEP,30.328
Jillian Tyler,Ole Miss,30.177
Carleigh Peters,Jacksonville St.,30.137
Zach Eisenberg,North Carolina St.,29.651
Allen Solida,Army,29.124
Alex Muzzioli,Navy,28.596
Kestrel Kuhne,Navy,28.390
Rachel Kimbell,TCU,27.995
Siarra Crum,Morehead St.,27.969
Mekenna Richardson,Jacksonville St.,27.829
Caleb Lloyd,Akron,27.790
Makennon Doran,Memphis,27.713
Alana Kelly,Ole Miss,27.713
Austin Cock,Jacksonville St.,27.602
Emiliano Concha-Toro,Army,27.522
Sarah Sutton,Nebraska,27.424
Tyler Ramos,Jacksonville St.,27.417
Kristyn Trump,Ole Miss,27.333
Morgan Duerr,Kentucky,27.279
Trace Haynes,Jacksonville St.,27.233
Amberlie Ezell,Memphis,27.067
David Sink,Jacksonville St.,27.041
Deanna Binnie,Ohio State,26.956
Haylee Schoenrock,UTEP,26.895
Anthony Jackson,Akron,26.832
Rhianna Lichtenthal,Army,26.600
Brandon Bryer,Morehead St.,26.554
Zach Schmidt,Jacksonville St.,26.410
Maddie Korthas,Nebraska,26.325
Brigitte Curcio,UT Martin,26.273
Kendal Elder,Ohio State,26.076
Abby Monique,UTEP,25.954
Ruthanne Conner,North Georgia,25.825
Sarah Fink,Morehead St.,25.731
Cierra Terrizzi,Akron,25.713
Libby Mostert,Army,25.605
Allison Auten,Citadel,25.487
Rachel Yager,Nebraska,25.236
Nicholle Benedict,TCU,25.137
Nathan Taylor,Alaska Fairbanks,25.079
Nick Kanellis,Army,25.023
Alexa Potts,Morehead St.,24.723
Joe Fischer,Morehead St.,24.612
Anika Corsi,Jacksonville St.,24.457
Joshua Kovach,Akron,24.417
Jack Berhorst,Memphis,24.332
Will Marciniak,North Carolina St.,24.244
Maggie Ehmann,Army,23.934
Julia Hatch,Akron,23.829
Emily Haag,TCU,23.682
Seth Baker,Morehead St.,23.647
Quintin Wotring,Ohio State,23.603
Lauryn Cinadr,Akron,23.547
Samantha Sandifer,Ole Miss,23.448
Garrett Rabel,Jacksonville St.,23.294
Brendan Whitaker,Ohio State,23.215
Grace Nelson,Alaska Fairbanks,23.122
Lily Graham,John Jay,22.864
Courtney Weekley,Ga. Southern,22.803
Brandon Henson,Jacksonville St.,22.550
Rosemary Kramer,Ga. Southern,22.535
Kera Kaufman,Akron,22.424
Brandon Pippin,Navy,22.424
Mara Rouse,UTEP,22.375
Nicholas Paisker,Coast Guard,22.284
Sarah Hickey,North Carolina St.,22.077
Randi Loudin,Ole Miss,21.985
Tori Lewis,Ga. Southern,21.768
Kyle Ordille,Jacksonville St.,21.737
Claire Spina,North Carolina St.,21.727
Brianna Sawyers,UT Martin (W),21.727
Andrew Miller,Kentucky,21.653
Jennifer Plocinik,UT Martin (W),21.642
Jacob Hunter,VMI,21.622
Ethan Cook,Army,21.159
Cullen Wargo,North Carolina St.,21.123
Bailey Urbach,Ohio State,21.074
Andrew Solomonides,Army,20.947
Mike Garner,Army,20.841
Maggie Guetersloh,Navy,20.584
Katie Bridges,TCU,20.545
Jared Rice,North Georgia,20.484
Colton Poole,Citadel,20.477
Sydney Goldschlag,Akron,20.461
Eric Sloan,Murray St.,20.429
Rebecca Green,Akron,20.333
Noah Kwock,Air Force,20.238
Eli Rischling,Memphis,20.153
Nash Richardson,Navy,19.998
Maranda Nelson,UTEP,19.982
Kathryn Youngblood,Ga. Southern,19.959
Lilly Vonderau,Alabama Birmingham,19.930
Abby Votava,Memphis,19.847
Lucas Gilliland,North Georgia,19.749
Andrew Abernathy,North Georgia,19.590
Tyler Lefebvre,North Carolina St.,19.571
Morgan Long,Citadel,19.212
Alexandria Harrington,Coast Guard,19.039
David Turner,North Georgia,19.031
Andrew Hickey,VMI,18.972
Sarah Schnupp,USciences,18.921
Logan Hunt,UT Martin,18.617
Dan Hall,Morehead St.,18.469
Hunter Behrends,Jacksonville St.,18.339
Richie Parra,Citadel,18.328
Brianna Shaw,North Georgia,18.251
Samantha Alexander,VMI (W),18.048
Ashley Coots,UT Martin (W),17.927
Sean Roehrs,Akron,17.768
William Davidson,VMI,17.737
Alyson Sylvester,UT Martin (W),17.692
Melanie West,Morehead St.,17.529
Alex Bapties,UT Martin,17.475
Angelica Dearaujo,John Jay,17.182
Lucas Figi,Navy,17.182
Alex Tamboli,UT Martin,17.166
Danielle Makucevich,Akron,16.752
Tobin Sanctuary,North Georgia,16.631
Nick Reynolds,VMI,16.486
Katie Brown,Nebraska,16.420
Chris Milliken,VMI,16.035
George Williams,North Carolina St.,15.981
Alexander McAlear,Citadel,15.790
Mathew Lusardi,VMI,15.765
Alice Chiu,VMI (W),15.760
Monthserrat Serna,UTEP,15.520
Cierra Holcombe,Wofford,15.473
Ronald Kopec,John Jay,15.143
Kyle Cox,Air Force,15.121
Sarah Banks,Alabama Birmingham,15.000
Lydia Odlin,Ga. Southern,14.813
Alex Fedorko,Akron,14.734
Kris Mantel,Akron,14.651
Matthew Davenport,Citadel,14.397
Zachary Johnson,VMI,14.385
Selina Curren,Alabama Birmingham,14.228
Patrick Sardo,Ohio State,13.994
Lindsey Flint,UT Martin (W),13.384
Andre Delcalzo,UT Martin,13.173
Katherine Watson,VMI (W),13.076
Leah Fenwrick-Wallace,Citadel (W),13.043
Meraleigh Randle,TCU,12.995
Randall Ford,Coast Guard,12.793
Rachel Jankelow,VMI (W),12.793
John Pitman,VMI,12.636
Brent Morgan,Akron,12.621
Patrick Meyer,Citadel,12.545
Kaitlyn Morrison,VMI (W),12.043
Kelly Mathesius,MIT,12.019
Nicholas Hunter,Wofford,11.955
Kerrie Lightfoot,VMI (W),11.923
Joseph Ferguson,Citadel,11.826
Marlee Reynolds,Akron,11.393
Sabrina Bell,VMI (W),11.371
Amanda Mayo,UT Martin (W),11.276
Ella Von Canon,Alabama Birmingham,11.245
Brandi Duzz,Citadel (W),10.913
Tommy Simrill,Citadel,10.778
Emily Stover,Alabama Birmingham,10.465
Loyce Lightfoot,VMI (W),10.429
Seth Flanagan,Wofford,10.341
Marshall Grant,Coast Guard,10.325
Chastity Price,Ga. Southern,10.289
Ida Sato,John Jay,10.170
Jacob Dupree,Coast Guard,10.162
Andrew Visconti,USciences,10.115
Kristie Lloyd,Alabama Birmingham,9.526
Erin Bell,UT Martin (W),9.526
Dylan Lorence,Coast Guard,9.390
Isaac King,Alabama Birmingham,9.000
Shadonna Littlejohn,Citadel (W),8.852
Carli Cline,Citadel (W),8.800
Gregory Lee,MIT,8.695
Susana Sanchez,John Jay,8.626
Kevin Ng,MIT,8.460
Raven Wills,Citadel (W),8.320
Alaric Stone,Coast Guard,8.300
Nyjah Turner,Coast Guard,8.276
Melissa Brizzi,Coast Guard,7.907
Eliza Kotowska,John Jay,7.889
Faith Totherow,Citadel (W),7.812
Angela Kang,USciences,7.354
Joelle Henry,VMI (W),7.333
Joseph Busching,Coast Guard,7.328
Nick Zsoldos,USciences,7.303
Jennifer Middlebrook,Ga. Southern,7.299
Marc Suda,John Jay,7.203
Steven Bugg,Alabama Birmingham,6.979
Lauren Stabler,USciences,6.912
David Rose,Coast Guard,6.888
Joel Solis,MIT,6.749
William Caruso,MIT,6.609
Kaden Nichols,Coast Guard,6.606
Reid Schuster,Wofford,6.532
George Conde,John Jay,6.500
Allie Tuman,USciences,6.493
Dylan Modesitt,MIT,6.481
Kelia Aardema,VMI (W),6.407
Zachry Hunter,Wofford,6.343
Lindsey Hill,Alabama Birmingham,6.143
Matt Popowicz,USciences,6.108
Jamie Foster,VMI (W),5.642
Rachel Hubal,USciences,5.468
Thomas Rick,MIT,5.408
Tierra Price,Citadel (W),5.398
Andrej Quatrone,USciences,5.324
Jesus Herrera,MIT,5.166
Alex Pacheco,MIT,5.012
Alexander Laiman,MIT,4.711
Anita Varkey,USciences,4.380
Carson Howell,Wofford,4.223
Chris Makosiej,USciences,4.174
Elijah Miller,MIT,4.010
Efraim Helman,MIT,3.512
Logan Short,Alabama Birmingham,3.511
Yaakov Helman,MIT,3.317
Nick Makosiej,USciences,3.255
Kevin Petrovic,MIT,3.156
Brittany Mahoney,USciences,2.959
Christina Tipton,USciences,2.377
Thomas Nelligan,USciences,1.102
