name,team,p
Mindy Miles,TCU,186.934
Ginny Thrasher,West Virginia,148.304
Sagen Maddalena,Alaska Fairbanks,141.873
Lucas Kozeniesky,North Carolina St.,118.829
Milica Babic,West Virginia,114.681
Heather Kirby,Kentucky,109.427
Ivan Roe,Murray St.,100.413
Rachel Garner,TCU,97.250
Mackenzie Martin,Murray St.,85.550
Elizabeth Gratz,West Virginia,82.399
Spencer Cap,Air Force,81.504
Alathea Sellars,Murray St.,78.705
Lauren Phillips,North Carolina St.,78.479
Brandon Muske,Jacksonville St.,74.513
Dacotah Faught,Nebraska,73.770
Ali Weisz,Ole Miss,73.770
Ryan Jacobs,Air Force,73.770
Sally Li,TCU,71.448
Rhiann Travis,Ohio State,70.823
Casey Lutz,TCU,66.664
Logan Ogden,Air Force,66.083
Drew Cheezum,Ohio State,65.999
Mitchell Van Patten,Nevada,64.217
Anna Weilbacher,Air Force,61.964
Jean-Pierre Lucas,West Virginia,61.369
Michael Steinel,Ohio State,59.255
Rachel Martin,Nebraska,58.322
Catherine Miller,TCU,57.791
Ben Estes,Murray St.,56.480
Cathryn Papasodora,Kentucky,54.352
Jacob Buchanan,Ohio State,53.438
Bobby Broadstreet,Murray St.,52.918
Billy Azzinaro,Kentucky,52.567
Mark Matheny,Ohio State,52.440
Sarah Jameson,Nevada,52.097
Nicole Hankey,TCU,51.580
Bailey Powell,UTEP,50.582
Soren Butler,Alaska Fairbanks,50.348
Marvin Lewis,Army,50.262
Emily Capaul,Nevada,49.467
Morgan Phillips,West Virginia,49.172
Dakota Spivey,North Georgia,48.869
Jess Haig,Ole Miss,48.165
Zach Strohl,Akron,47.254
Jaycee Carter,Nebraska,47.175
Jason Spaude,Kentucky,47.175
Josh Black,Ohio State,46.756
Barbara Schlapfer,Murray St.,46.642
Hanna Carr,Kentucky,46.224
Samantha Peterson,Nebraska,43.863
Danielle Cuomo,Army,43.637
Harley Gardner,Ole Miss,43.584
Spencer Brandon,Air Force,43.309
Leighton Dempster,Memphis,42.769
Sonya May,Kentucky,42.769
Jessica Kinder,UTEP,42.702
Meike Drewell,Murray St.,42.437
Haylea Broughton,Memphis,41.474
Barrett Ray,TCU,41.404
Luke Johnson,Alaska Fairbanks,41.132
Rachel Benesh,Nevada,40.958
Amy Hammer,Navy,40.945
Anthony Cuozzo,Ohio State,40.422
Jenna Bethea,Kentucky,40.013
JT Schnering,Alaska Fairbanks,39.824
Levi Clark,Memphis,39.606
Thomas Sarant,Navy,39.393
Nina Radulovic,Nebraska,39.327
Ariana Grabowski,TCU,39.071
Jordan Miller,Nebraska,38.636
Will Anti,West Virginia,38.628
Nick Learn,Air Force,38.012
Karly Potts,Morehead St.,38.001
Maddy Erikson,Army,37.373
Justin Nissen,Nevada,37.028
Amy Fister,Memphis,37.024
Kaitlin Korinek,UT Martin,36.940
Robert Scott,Alaska Fairbanks,36.558
Daniel Jonas,Navy,36.364
Payne Nunn,Army,36.283
Nathan Brewer,Army,36.283
Amy Gentry,Alaska Fairbanks,36.134
Caitlyn Ford,North Carolina St.,35.915
Jason Scharbel,Kentucky,35.410
Kayla Gadeken,Nebraska,35.231
Carter Santrock,Jacksonville St.,35.010
Ian Foos,Kentucky,34.818
Hayley Carroll,Ole Miss,34.361
Claire Zanti,North Carolina St.,33.892
Eli Larimer,Nevada,33.682
Liam Eberhart,Alaska Fairbanks,33.467
Joe Martin,UT Martin,33.451
Hannah Virga,Nebraska,33.406
Josh Watson,Navy,33.358
Jesse Moyer,Morehead St.,33.091
