Name	Team	Date*	Location	K1	K2	P1	P2	S1	S2	Total	SB Centers	A1	A2	A3	A4	A5	A6	Total	AR Centers
Lucas Gilliland	North Georgia	Sep. 21, 2016	Ole Miss	88	89	98	96	85	86	542	18	92	95	95	97	95	95	569	25
Maddie Godwin	North Georgia	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hannah Peevy	North Georgia	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jared Rice	North Georgia	Sep. 21, 2016	Ole Miss	92	94	100	99	84	91	560	17	95	98	98	97	94	90	572	31
Tobin Sanctuary	North Georgia	Sep. 21, 2016	Ole Miss	95	91	96	99	94	88	563	18	96	94	96	96	96	93	571	23
Brianna Shaw	North Georgia	Sep. 21, 2016	Ole Miss	89	91	97	95	91	87	550	12	95	96	96	94	93	92	566	16
Dakota Spivey	North Georgia	Sep. 21, 2016	Ole Miss	91	91	100	98	96	93	569	25	100	97	99	95	99	96	586	36
David Turner	North Georgia	Sep. 21, 2016	Ole Miss	90	93	96	98	83	86	546	16	93	96	94	96	95	94	568	21
Hayley Carroll	Ole Miss	Sep. 21, 2016	Ole Miss	92	94	98	98	89	86	557	17	96	100	99	98	99	98	590	40
Harley Gardner	Ole Miss	Sep. 21, 2016	Ole Miss	96	96	96	99	96	93	576	28	98	97	97	96	97	98	583	28
Jess Haig	Ole Miss	Sep. 21, 2016	Ole Miss	94	91	99	100	93	94	571	23	97	98	98	98	98	99	588	42
Alana Kelly	Ole Miss	Sep. 21, 2016	Ole Miss	95	94	97	97	90	93	566	16	97	96	92	92	98	96	571	24
Randi Loudin	Ole Miss	Sep. 21, 2016	Ole Miss	97	98	99	99	94	90	577	29	92	96	97	95	98	93	571	27
Marina Noble	Ole Miss	Sep. 21, 2016	Ole Miss	88	96	97	97	95	90	563	20	0	0	0	0	0	0	0	0
Samantha Sandifer	Ole Miss	Sep. 21, 2016	Ole Miss	91	94	94	97	93	91	560	13	96	98	95	91	94	94	568	20
Kristyn Trump	Ole Miss	Sep. 21, 2016	Ole Miss	97	93	99	98	89	87	563	21	98	94	94	96	95	95	572	23
Jillian Tyler	Ole Miss	Sep. 21, 2016	Ole Miss	87	92	92	98	92	91	552	13	95	95	96	100	98	95	579	27
Ali Weisz	Ole Miss	Sep. 21, 2016	Ole Miss	96	96	99	97	95	93	576	29	100	99	97	98	98	99	591	46
Alex Bapties	UT Martin	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	93	93	94	95	96	99	570	25
Erin Bell	UT Martin (W)	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brigitte Curcio	UT Martin	Sep. 21, 2016	Ole Miss	92	92	98	94	94	94	564	25	97	99	97	98	96	96	583	36
Andre Delcalzo	UT Martin	Sep. 21, 2016	Ole Miss	91	95	95	97	89	88	555	14	0	0	0	0	0	0	0	0
Logan Hunt	UT Martin	Sep. 21, 2016	Ole Miss	92	88	93	84	85	85	527	6	95	97	93	96	96	95	572	26
Kaitlin Korinek	UT Martin	Sep. 21, 2016	Ole Miss	92	99	97	97	93	93	571	16	97	96	98	98	99	99	587	35
Joe Martin	UT Martin	Sep. 21, 2016	Ole Miss	94	100	99	100	90	97	580	28	97	99	97	97	98	99	587	34
Amanda Mayo	UT Martin (W)	Sep. 21, 2016	Ole Miss	93	94	96	98	84	70	535	15	90	88	95	89	90	92	544	11
Alex Tamboli	UT Martin	Sep. 21, 2016	Ole Miss	95	91	95	94	89	90	554	11	94	96	95	94	95	96	570	24
Jack Berhorst	Memphis	Sep. 21, 2016	Ole Miss	96	99	98	100	97	94	584	29	97	99	98	95	98	95	582	31
Haylea Broughton	Memphis	Sep. 21, 2016	Ole Miss	93	98	95	99	95	92	572	24	98	96	97	98	99	97	585	36
Levi Clark	Memphis	Sep. 21, 2016	Ole Miss	93	96	100	100	89	93	571	27	98	96	99	99	97	96	585	37
Leighton Dempster	Memphis	Sep. 21, 2016	Ole Miss	94	91	98	99	91	93	566	16	96	96	97	97	98	99	583	33
Makennon Doran	Memphis	Sep. 21, 2016	Ole Miss	92	97	94	94	93	92	562	16	98	96	97	98	99	94	582	40
Amberlie Ezell	Memphis	Sep. 21, 2016	Ole Miss	95	93	99	97	91	92	567	20	98	95	97	94	94	95	573	26
Amy Fister	Memphis	Sep. 21, 2016	Ole Miss	97	98	98	100	98	94	585	32	98	96	98	97	96	99	584	34
Eli Rischling	Memphis	Sep. 21, 2016	Ole Miss	93	95	97	100	91	89	565	21	95	98	96	96	95	97	577	28
Abby Votava	Memphis	Sep. 21, 2016	Ole Miss	80	87	94	91	86	86	524	5	96	94	95	96	97	93	571	24
Hunter Behrends	Jacksonville St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austin Cock	Jacksonville St.	Sep. 21, 2016	Ole Miss	95	94	97	99	94	91	570	24	97	96	97	97	97	97	581	31
Anika Corsi	Jacksonville St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trace Haynes	Jacksonville St.	Sep. 21, 2016	Ole Miss	95	96	97	96	93	92	569	15	97	99	96	97	96	100	585	39
Brandon Henson	Jacksonville St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brandon Muske	Jacksonville St.	Sep. 21, 2016	Ole Miss	92	96	99	95	94	93	569	21	98	98	99	100	97	100	592	46
Garrett Rabel	Jacksonville St.	Sep. 21, 2016	Ole Miss	94	95	98	100	91	90	568	23	0	0	0	0	0	0	0	0
Tyler Ramos	Jacksonville St.	Sep. 21, 2016	Ole Miss	98	96	98	95	91	92	570	23	96	97	96	98	94	98	579	24
Mekenna Richardson	Jacksonville St.	Sep. 21, 2016	Ole Miss	97	98	98	99	95	96	583	29	98	94	96	94	94	98	574	26
Carter Santrock	Jacksonville St.	Sep. 21, 2016	Ole Miss	95	96	99	96	93	94	573	30	98	94	96	98	99	97	582	35
David Sink	Jacksonville St.	Sep. 21, 2016	Ole Miss	96	96	97	98	91	91	569	21	100	97	98	99	96	95	585	36
Ashley Coots	UT Martin (W)	Sep. 21, 2016	Ole Miss	92	96	96	95	90	89	558	14	96	98	94	97	97	97	579	24
Lindsey Flint	UT Martin (W)	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brianna Sawyers	UT Martin (W)	Sep. 21, 2016	Ole Miss	95	92	94	99	94	91	565	15	94	94	91	93	96	97	565	25
Alyson Sylvester	UT Martin (W)	Sep. 21, 2016	Ole Miss	93	95	93	97	93	93	564	15	96	96	95	97	91	95	570	25
Kyle Ordille	Jacksonville St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carleigh Peters	Jacksonville St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	92	97	97	97	96	98	577	25
Zach Schmidt	Jacksonville St.	Sep. 21, 2016	Ole Miss	94	97	98	97	91	92	569	22	98	98	96	96	96	95	579	35
Jennifer Plocinik	UT Martin (W)	Sep. 21, 2016	Ole Miss	93	96	98	96	91	88	562	16	95	97	92	95	99	95	573	25
Allison Auten	Citadel	Sep. 24, 2016	VMI	90	91	91	94	91	93	550	0	93	92	90	94	94	96	559	0
Matthew Davenport	Citadel	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joseph Ferguson	Citadel	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morgan Long	Citadel	Sep. 24, 2016	VMI	92	93	96	92	88	95	556	0	98	94	96	95	97	97	577	0
Alexander McAlear	Citadel	Sep. 24, 2016	VMI	89	94	93	96	86	83	541	0	98	92	94	95	96	93	568	0
Patrick Meyer	Citadel	Sep. 24, 2016	VMI	93	91	98	95	76	80	533	0	88	89	88	92	91	94	542	0
Richie Parra	Citadel	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	97	96	93	93	92	94	565	0
Colton Poole	Citadel	Sep. 24, 2016	VMI	92	90	95	92	86	93	548	0	90	91	94	95	97	96	563	0
Tommy Simrill	Citadel	Sep. 24, 2016	VMI	84	85	95	98	82	85	529	0	89	89	95	92	91	93	549	0
William Davidson	VMI	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrew Hickey	VMI	Sep. 24, 2016	VMI	92	92	98	96	89	87	554	0	92	95	96	97	97	95	572	0
Jacob Hunter	VMI	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	96	95	95	94	94	97	571	0
Zachary Johnson	VMI	Sep. 24, 2016	VMI	92	94	97	96	89	91	559	0	0	0	0	0	0	0	0	0
Mathew Lusardi	VMI	Sep. 24, 2016	VMI	90	89	98	98	90	86	551	0	95	91	92	91	89	89	547	0
Chris Milliken	VMI	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	97	92	94	94	97	92	566	0
John Pitman	VMI	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nick Reynolds	VMI	Sep. 24, 2016	VMI	94	92	93	95	83	86	543	0	91	92	93	96	97	94	563	0
Carli Cline	Citadel (W)	Sep. 24, 2016	VMI	83	92	94	93	68	62	492	0	84	80	83	84	80	90	501	0
Brandi Duzz	Citadel (W)	Sep. 24, 2016	VMI	79	87	96	98	77	77	514	0	93	89	88	90	98	89	547	0
Leah Fenwrick-Wallace	Citadel (W)	Sep. 24, 2016	VMI	90	77	91	89	88	84	519	0	91	93	91	89	90	93	547	0
Shadonna Littlejohn	Citadel (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tierra Price	Citadel (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faith Totherow	Citadel (W)	Sep. 24, 2016	VMI	87	86	92	90	82	79	516	0	82	81	84	87	88	81	503	0
Raven Wills	Citadel (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kelia Aardema	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samantha Alexander	VMI (W)	Sep. 24, 2016	VMI	94	87	96	94	85	82	538	0	94	96	94	96	94	97	571	0
Ellana Avery	VMI (W)	Sep. 24, 2016	VMI	95	87	93	96	83	81	535	0	0	0	0	0	0	0	0	0
Sabrina Bell	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alice Chiu	VMI (W)	Sep. 24, 2016	VMI	94	91	96	91	87	83	542	0	96	94	96	96	90	97	569	0
Jamie Foster	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joelle Henry	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rachel Jankelow	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	93	91	92	94	93	94	557	0
Kerrie Lightfoot	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loyce Lightfoot	VMI (W)	Sep. 24, 2016	VMI	89	92	92	92	90	89	544	0	93	91	91	91	94	90	550	0
Kaitlyn Morrison	VMI (W)	Sep. 24, 2016	VMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Katherine Watson	VMI (W)	Sep. 24, 2016	VMI	85	85	94	90	83	87	524	0	90	97	94	95	94	97	567	0
Lauryn Cinadr	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alex Fedorko	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sydney Goldschlag	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rebecca Green	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Julia Hatch	Akron	Sep. 24, 2016	Memphis	95	98	99	97	94	95	578	22	97	95	98	94	95	98	577	28
Anthony Jackson	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	97	94	96	96	98	94	575	24
Kera Kaufman	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joshua Kovach	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caleb Lloyd	Akron	Sep. 24, 2016	Memphis	96	95	98	98	92	92	571	25	0	0	0	0	0	0	0	0
Danielle Makucevich	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kris Mantel	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brent Morgan	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connor O'Mara	Akron	Sep. 24, 2016	Memphis	91	95	97	96	89	92	560	18	92	95	97	96	98	98	576	28
Marlee Reynolds	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sean Roehrs	Akron	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zach Strohl	Akron	Sep. 24, 2016	Memphis	96	97	98	99	91	92	573	24	100	98	97	98	98	96	587	33
Cierra Terrizzi	Akron	Sep. 24, 2016	Memphis	92	92	99	99	95	98	575	24	98	95	97	100	98	97	585	37
Hayley Carroll	Ole Miss	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	95	98	98	97	98	98	584	37
Harley Gardner	Ole Miss	Sep. 24, 2016	Memphis	95	99	99	97	96	93	579	24	97	100	99	99	98	98	591	39
Jess Haig	Ole Miss	Sep. 24, 2016	Memphis	96	94	100	98	90	93	571	22	100	97	98	99	98	99	591	43
Alana Kelly	Ole Miss	Sep. 24, 2016	Memphis	94	97	98	98	98	93	578	34	97	96	95	96	98	97	579	29
Randi Loudin	Ole Miss	Sep. 24, 2016	Memphis	97	93	98	99	89	86	562	22	96	100	99	97	97	93	582	32
Marina Noble	Ole Miss	Sep. 24, 2016	Memphis	92	93	99	98	93	90	565	19	0	0	0	0	0	0	0	0
Samantha Sandifer	Ole Miss	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	97	96	96	95	96	95	575	33
Kristyn Trump	Ole Miss	Sep. 24, 2016	Memphis	95	90	99	98	89	91	562	20	95	98	97	97	94	98	579	27
Jillian Tyler	Ole Miss	Sep. 24, 2016	Memphis	90	96	96	98	89	93	562	12	98	98	96	93	97	97	579	36
Ali Weisz	Ole Miss	Sep. 24, 2016	Memphis	96	99	99	100	95	94	583	32	99	100	99	95	98	97	588	43
Alex Bapties	UT Martin	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	91	97	93	93	97	94	565	26
Brigitte Curcio	UT Martin	Sep. 24, 2016	Memphis	90	93	96	95	92	91	557	18	97	98	96	98	95	96	580	26
Andre Delcalzo	UT Martin	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Logan Hunt	UT Martin	Sep. 24, 2016	Memphis	93	91	93	92	90	81	540	9	0	0	0	0	0	0	0	0
Kaitlin Korinek	UT Martin	Sep. 24, 2016	Memphis	92	92	94	96	95	95	564	17	95	97	94	96	95	96	573	29
Joe Martin	UT Martin	Sep. 24, 2016	Memphis	97	99	99	100	93	93	581	33	98	96	97	97	100	98	586	36
Alex Tamboli	UT Martin	Sep. 24, 2016	Memphis	92	94	92	93	92	89	552	12	99	94	94	94	95	92	568	22
Jack Berhorst	Memphis	Sep. 24, 2016	Memphis	98	97	99	100	89	95	578	28	88	97	94	98	95	99	571	30
Haylea Broughton	Memphis	Sep. 24, 2016	Memphis	93	93	95	98	96	95	570	25	98	97	97	98	99	100	589	40
Levi Clark	Memphis	Sep. 24, 2016	Memphis	97	99	99	100	91	91	577	24	96	98	97	100	97	96	584	32
Leighton Dempster	Memphis	Sep. 24, 2016	Memphis	96	94	97	98	92	90	567	20	97	99	97	100	97	97	587	42
Makennon Doran	Memphis	Sep. 24, 2016	Memphis	93	95	95	96	94	92	565	0	98	98	96	97	99	99	587	39
Amberlie Ezell	Memphis	Sep. 24, 2016	Memphis	96	92	97	97	93	93	568	0	96	92	94	93	94	96	565	21
Amy Fister	Memphis	Sep. 24, 2016	Memphis	96	98	99	98	97	97	585	31	98	98	98	97	97	97	585	32
Eli Rischling	Memphis	Sep. 24, 2016	Memphis	96	92	98	98	93	95	572	0	96	96	96	94	97	97	576	26
Abby Votava	Memphis	Sep. 24, 2016	Memphis	89	91	96	97	85	94	552	0	98	97	94	95	94	92	570	25
Hunter Behrends	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austin Cock	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anika Corsi	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trace Haynes	Jacksonville St.	Sep. 24, 2016	Memphis	93	96	96	100	92	86	563	18	96	97	96	94	95	97	575	25
Brandon Henson	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brandon Muske	Jacksonville St.	Sep. 24, 2016	Memphis	94	95	98	95	93	94	569	18	99	100	99	99	99	98	594	48
Kyle Ordille	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carleigh Peters	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	97	98	98	97	100	97	587	40
Garrett Rabel	Jacksonville St.	Sep. 24, 2016	Memphis	95	95	98	99	87	91	565	22	0	0	0	0	0	0	0	0
Tyler Ramos	Jacksonville St.	Sep. 24, 2016	Memphis	98	97	100	99	90	92	576	25	0	0	0	0	0	0	0	0
Mekenna Richardson	Jacksonville St.	Sep. 24, 2016	Memphis	100	96	98	98	90	92	574	18	0	0	0	0	0	0	0	0
Carter Santrock	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	96	97	97	97	93	98	578	31
Zach Schmidt	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
David Sink	Jacksonville St.	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	96	98	97	98	99	97	585	39
Sarah Banks	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	95	96	97	95	99	94	576	28
Steven Bugg	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	85	81	88	89	85	89	517	12
Selina Curren	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	94	95	92	96	92	93	562	15
Lindsey Hill	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isaac King	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kristie Lloyd	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	94	93	88	93	89	90	547	13
Logan Short	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mallory Sisk	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micah Smith	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emily Stover	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	93	87	92	88	92	92	544	15
Ella Von Canon	Alabama Birmingham	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lilly Vonderau	Alabama Birmingham	Sep. 24, 2016	Memphis	91	88	97	98	89	89	552	18	93	94	90	97	97	92	563	23
Erin Bell	UT Martin (W)	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashley Coots	UT Martin (W)	Sep. 24, 2016	Memphis	91	95	96	97	86	90	555	18	96	98	94	94	97	98	577	27
Lindsey Flint	UT Martin (W)	Sep. 24, 2016	Memphis	91	94	93	93	88	92	551	9	94	95	95	90	93	93	560	24
Amanda Mayo	UT Martin (W)	Sep. 24, 2016	Memphis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jennifer Plocinik	UT Martin (W)	Sep. 24, 2016	Memphis	92	91	95	98	87	84	547	13	96	94	95	98	94	95	572	27
Brianna Sawyers	UT Martin (W)	Sep. 24, 2016	Memphis	95	92	98	96	90	95	566	19	95	93	98	98	97	94	575	25
Alyson Sylvester	UT Martin (W)	Sep. 24, 2016	Memphis	92	94	95	94	87	90	552	16	91	93	95	93	97	95	564	28
Rachel Benesh	Nevada	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	99	99	99	99	98	99	593	0
Emily Capaul	Nevada	Sep. 24, 2016	Nevada Reno	91	96	98	98	93	88	564	0	99	99	98	96	98	99	589	0
Jared Crews	Nevada	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maneva Gill	Nevada	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	99	96	99	97	99	94	584	0
Sarah Jameson	Nevada	Sep. 24, 2016	Nevada Reno	95	96	99	100	96	94	580	0	98	98	99	98	97	97	587	0
Eli Larimer	Nevada	Sep. 24, 2016	Nevada Reno	93	97	97	98	89	95	569	0	98	97	100	97	96	99	587	0
Justin Nissen	Nevada	Sep. 24, 2016	Nevada Reno	94	97	97	98	91	92	569	0	96	98	99	98	95	98	584	0
Jami Sexton	Nevada	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sara Tashima	Nevada	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitchell Van Patten	Nevada	Sep. 24, 2016	Nevada Reno	99	97	95	100	97	97	585	0	96	99	99	99	98	98	589	0
Deanna Binnie	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Josh Black	Ohio State	Sep. 24, 2016	Nevada Reno	96	93	100	99	93	96	577	0	96	98	98	99	100	99	590	0
Jacob Buchanan	Ohio State	Sep. 24, 2016	Nevada Reno	97	98	97	99	93	95	579	0	97	97	97	97	98	99	585	0
Drew Cheezum	Ohio State	Sep. 24, 2016	Nevada Reno	95	96	97	98	94	98	578	0	100	97	99	100	100	96	592	0
Anthony Cuozzo	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kendal Elder	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alli Kissell	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mark Matheny	Ohio State	Sep. 24, 2016	Nevada Reno	91	97	97	99	93	93	570	0	98	98	99	96	97	95	583	0
Patrick Sardo	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michael Steinel	Ohio State	Sep. 24, 2016	Nevada Reno	97	96	99	98	94	95	579	0	97	97	99	97	97	97	584	0
Chrissy Thomas	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhiann Travis	Ohio State	Sep. 24, 2016	Nevada Reno	91	96	99	99	95	95	575	0	98	98	100	100	97	99	592	0
Bailey Urbach	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brendan Whitaker	Ohio State	Sep. 24, 2016	Nevada Reno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quintin Wotring	Ohio State	Sep. 24, 2016	Nevada Reno	95	93	100	99	98	91	576	0	97	95	98	94	96	96	576	0
