Name	Team	Date*	Location	K1	K2	P1	P2	S1	S2	Total	SB Centers	A1	A2	A3	A4	A5	A6	Total	AR Centers
Billy Azzinaro	Kentucky	Sep. 21, 2016	Ole Miss	96	96	99	97	95	95	578	23	100	100	93	98	99	98	588	45
Jenna Bethea	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hanna Carr	Kentucky	Sep. 21, 2016	Ole Miss	97	98	99	100	97	91	582	27	100	99	99	100	99	98	595	43
Morgan Duerr	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ian Foos	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carmen Fry	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heather Kirby	Kentucky	Sep. 21, 2016	Ole Miss	96	97	98	97	97	92	577	20	98	99	98	99	100	99	593	45
Sonya May	Kentucky	Sep. 21, 2016	Ole Miss	97	92	100	98	92	90	569	21	100	96	97	99	99	100	591	44
Andrew Miller	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cathryn Papasodora	Kentucky	Sep. 21, 2016	Ole Miss	95	91	95	96	95	98	570	21	98	100	99	97	97	99	590	34
Jason Scharbel	Kentucky	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jason Spaude	Kentucky	Sep. 21, 2016	Ole Miss	93	96	99	99	94	93	574	24	97	98	99	99	97	97	587	36
Bobby Broadstreet	Murray St.	Sep. 21, 2016	Ole Miss	94	95	100	100	91	91	571	23	98	97	99	99	98	98	589	39
Meike Drewell	Murray St.	Sep. 21, 2016	Ole Miss	97	95	100	98	96	96	582	35	98	97	98	98	98	98	587	33
Ben Estes	Murray St.	Sep. 21, 2016	Ole Miss	97	95	99	97	95	94	577	28	99	97	100	97	100	98	591	43
Shelby Huber	Murray St.	Sep. 21, 2016	Ole Miss	96	92	99	99	89	91	566	20	97	96	96	94	96	99	578	31
Mackenzie Martin	Murray St.	Sep. 21, 2016	Ole Miss	95	96	98	99	96	92	576	23	99	99	98	98	99	99	592	42
Ivan Roe	Murray St.	Sep. 21, 2016	Ole Miss	99	99	99	98	100	96	591	34	98	100	98	100	99	97	592	44
Barbara Schlapfer	Murray St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alathea Sellars	Murray St.	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eric Sloan	Murray St.	Sep. 21, 2016	Ole Miss	89	83	100	97	91	91	551	20	95	98	95	97	96	96	577	25
Andrew Abernathy	North Georgia	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eric Azotea	North Georgia	Sep. 21, 2016	Ole Miss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthanne Conner	North Georgia	Sep. 21, 2016	Ole Miss	95	94	96	97	93	93	568	19	97	97	100	98	97	97	586	36
