Date	School Name	Location	Team Type	Team SB Total	Team SB Center	Team AR Total	Team AR Center	Team Squad Total	Team Center Total
10/08/2016	Air Force	Fairbanks	Mixed	2328	187	2370	297	4698	484
10/10/2016	Air Force	Fairbanks	Mixed	2327	192	2375	287	4702	479
10/22/2016	Air Force	USAFA	Mixed	2308	0	2365	0	4673	0
10/23/2016	Air Force	USAFA	Mixed	2325	0	2371	0	4696	0
11/05/2016	Air Force	USAFA	Mixed	2322	0	2376	0	4698	0
11/12/2016	Air Force	Fort Worth	Mixed	2319	0	2365	0	4684	0
11/13/2016	Air Force	Fort Worth	Mixed	2317	0	2362	0	4679	0
01/14/2017	Air Force	USAFA	Mixed	2309	0	2362	0	4671	0
01/28/2017	Air Force	Charleston	Mixed	2321	0	2355	7	4676	7
01/29/2017	Air Force	Charleston	Mixed	2326	0	2370	0	4696	0
02/04/2017	Air Force	Columbus	Mixed	2309	142	2364	254	4673	396
02/18/2017	Air Force	Fort Worth	Mixed	0	0	0	0	0	0
09/24/2016	Akron	Memphis	Mixed	2297	113	2325	150	4622	263
10/08/2016	Akron	Akron	Mixed	2277	288	2310	0	4587	288
10/15/2016	Akron	Reno	Mixed	2303	0	2320	0	4623	0
10/22/2016	Akron	Akron	Mixed	2301	280	2326	0	4627	280
10/23/2016	Akron	Akron	Mixed	2316	312	2332	410	4648	722
10/29/2016	Akron	Philadelphia	Mixed	2279	0	2330	0	4609	0
11/04/2016	Akron	Lexington	Mixed	2282	0	2336	0	4618	0
11/05/2016	Akron	Lexington	Mixed	2291	0	2339	0	4630	0
01/14/2017	Akron	Palmyra	Mixed	2276	213	2318	292	4594	505
02/04/2017	Akron	Lexington	Mixed	2307	0	2336	0	4643	0
02/18/2017	Akron	Columbus	Mixed	0	0	0	0	0	0
09/24/2016	Alabama Birmingham	Memphis	Mixed	0	18	2248	106	2248	124
10/08/2016	Alabama Birmingham	Spartanburg	Mixed	0	0	2235	0	2235	0
10/15/2016	Alabama Birmingham	Charleston	Mixed	0	0	2261	0	2261	0
10/22/2016	Alabama Birmingham	Dahlonega	Mixed	0	0	2208	0	2208	0
11/18/2016	Alabama Birmingham	Jacksonville	Mixed	0	0	2259	0	2259	0
01/17/2017	Alabama Birmingham	Martin	Mixed	0	0	2219	0	2219	0
01/20/2017	Alabama Birmingham	Murray	Mixed	0	0	2228	0	2228	0
02/04/2017	Alabama Birmingham	Spartanburg	Mixed	0	0	2217	0	2217	0
02/11/2017	Alabama Birmingham	Lexington	Mixed	0	0	2251	0	2251	0
02/18/2017	Alabama Birmingham	Charleston	Mixed	0	0	0	0	0	0
03/04/2017	Alabama Birmingham	Charleston	Mixed	0	0	0	0	0	0
10/08/2016	Alaska Fairbanks	Fairbanks	Mixed	2313	208	2366	309	4679	517
10/14/2016	Alaska Fairbanks	Fairbanks	Mixed	2311	225	2359	336	4670	561
10/15/2016	Alaska Fairbanks	Fairbanks	Mixed	2332	219	2360	316	4692	535
11/04/2016	Alaska Fairbanks	El Paso	Mixed	2306	0	2356	0	4662	0
11/06/2016	Alaska Fairbanks	Reno	Mixed	2321	0	2345	0	4666	0
11/19/2016	Alaska Fairbanks	Fairbanks	Mixed	2311	207	2360	348	4671	555
11/20/2016	Alaska Fairbanks	Fairbanks	Mixed	2320	227	2354	332	4674	559
01/10/2017	Alaska Fairbanks	Morgantown	Mixed	2327	0	2361	0	4688	0
01/14/2017	Alaska Fairbanks	Palmyra	Mixed	2312	183	2354	248	4666	431
02/02/2017	Alaska Fairbanks	Lincoln	Mixed	2326	0	2365	0	4691	0
02/04/2017	Alaska Fairbanks	Columbus	Mixed	2330	166	2375	244	4705	410
02/18/2017	Alaska Fairbanks	Morgantown	Mixed	0	0	0	0	0	0
10/10/2016	Army	West Point	Mixed	2299	303	2342	488	4641	791
10/29/2016	Army	Lexington	Mixed	2312	0	2339	0	4651	0
10/30/2016	Army	Morehead	Mixed	2289	0	2351	0	4640	0
11/05/2016	Army	USAFA	Mixed	2302	0	2344	0	4646	0
11/11/2016	Army	West Point	Mixed	2321	297	2349	483	4670	780
11/13/2016	Army	West Point	Mixed	2303	332	2354	472	4657	804
11/20/2016	Army	West Point	Mixed	2307	277	2350	428	4657	705
01/14/2017	Army	West Point	Mixed	2319	295	2349	484	4668	779
01/14/2017	Army	Palmyra	Mixed	2303	315	2352	442	4655	757
01/16/2017	Army	West Point	Mixed	2301	304	2346	474	4647	778
02/05/2017	Army	West Point	Mixed	2328	299	2344	431	4672	730
02/18/2017	Army	West Point	Mixed	0	0	0	0	0	0
09/24/2016	Citadel	Lexington	Mixed	2195	0	2264	0	4459	0
10/01/2016	Citadel	Charleston	Mixed	2191	0	2278	0	4469	0
10/15/2016	Citadel	Charleston	Mixed	2207	0	2272	0	4479	0
10/22/2016	Citadel	Dahlonega	Mixed	2194	0	2293	0	4487	0
10/29/2016	Citadel	Charleston	Mixed	2200	0	2293	0	4493	0
11/05/2016	Citadel	Charleston	Mixed	2210	0	2308	0	4518	0
11/12/2016	Citadel	Charleston	Mixed	2205	0	2288	0	4493	0
01/21/2017	Citadel	Charleston	Mixed	2205	0	2296	0	4501	0
01/28/2017	Citadel	Charleston	Mixed	2227	0	2291	0	4518	0
01/29/2017	Citadel	Charleston	Mixed	2209	0	2305	0	4514	0
02/04/2017	Citadel	Charleston	Mixed	2217	0	2292	0	4509	0
02/11/2017	Citadel	Spartanburg	Mixed	2170	0	2302	0	4472	0
02/18/2017	Citadel	Charleston	Mixed	0	0	0	0	0	0
03/04/2017	Citadel	Charleston	Mixed	0	0	0	0	0	0
09/24/2016	Citadel (W)	Lexington	Women's	2041	0	2098	0	4139	0
10/01/2016	Citadel (W)	Charleston	Women's	2026	0	2151	0	4177	0
10/15/2016	Citadel (W)	Charleston	Women's	2055	0	2145	0	4200	0
10/22/2016	Citadel (W)	Dahlonega	Women's	2061	0	2140	0	4201	0
10/29/2016	Citadel (W)	Charleston	Women's	2036	0	2195	0	4231	0
11/05/2016	Citadel (W)	Charleston	Women's	2060	0	2194	0	4254	0
11/12/2016	Citadel (W)	Charleston	Women's	2120	0	2206	0	4326	0
01/21/2017	Citadel (W)	Charleston	Women's	2081	0	2192	0	4273	0
01/28/2017	Citadel (W)	Charleston	Women's	2068	0	2195	0	4263	0
01/29/2017	Citadel (W)	Charleston	Women's	2057	0	2193	0	4250	0
02/04/2017	Citadel (W)	Charleston	Women's	2130	0	2222	0	4352	0
02/11/2017	Citadel (W)	Spartanburg	Women's	2081	0	2198	0	4279	0
02/18/2017	Citadel (W)	Charleston	Women's	0	0	0	0	0	0
03/04/2017	Citadel (W)	Charleston	Women's	0	0	0	0	0	0
10/08/2016	Coast Guard	Annapolis	Mixed	2185	0	2251	93	4436	93
10/09/2016	Coast Guard	Annapolis	Mixed	2168	0	2252	0	4420	0
10/22/2016	Coast Guard	Cambridge	Mixed	2199	0	2211	0	4410	0
11/05/2016	Coast Guard	USAFA	Mixed	2202	0	2272	0	4474	0
11/12/2016	Coast Guard	New London	Mixed	2223	0	2258	0	4481	0
11/18/2016	Coast Guard	New London	Mixed	2186	0	2252	0	4438	0
01/14/2017	Coast Guard	Palmyra	Mixed	2163	99	2218	127	4381	226
01/21/2017	Coast Guard	Fort Worth	Mixed	2225	0	2262	0	4487	0
01/22/2017	Coast Guard	Fort Worth	Mixed	2249	0	2258	0	4507	0
02/04/2017	Coast Guard	Cambridge	Mixed	2164	0	2233	0	4397	0
02/05/2017	Coast Guard	Cambridge	Mixed	2161	62	2231	143	4392	205
02/18/2017	Coast Guard	New London	Mixed	0	0	0	0	0	0
10/15/2016	Ga. Southern	Charleston	Mixed	2202	0	2289	0	4491	0
10/22/2016	Ga. Southern	Dahlonega	Mixed	2193	0	2274	0	4467	0
10/29/2016	Ga. Southern	Lexington	Mixed	2193	0	2310	0	4503	0
11/06/2016	Ga. Southern	Dahlonega	Mixed	2202	0	2284	0	4486	0
11/19/2016	Ga. Southern	Unkown	Mixed	2175	60	2268	99	4443	159
01/21/2017	Ga. Southern	Charleston	Mixed	2194	0	2299	0	4493	0
