Date	School Name	Location	Team Type	Team SB Total	Team SB Center	Team AR Total	Team AR Center	Team Squad Total	Team Center Total
02/11/2017	Ga. Southern	Unkown	Mixed	2175	0	2290	0	4465	0
02/18/2017	Ga. Southern	Charleston	Mixed	0	0	0	0	0	0
03/04/2017	Ga. Southern	Charleston	Mixed	0	0	0	0	0	0
09/21/2016	Jacksonville St.	University	Mixed	2291	208	2336	297	4627	505
09/24/2016	Jacksonville St.	Memphis	Mixed	2284	101	2344	183	4628	284
10/16/2016	Jacksonville St.	Morehead	Mixed	2292	0	2351	0	4643	0
10/22/2016	Jacksonville St.	Murray	Mixed	2310	0	2339	0	4649	0
10/29/2016	Jacksonville St.	Jacksonville	Mixed	2315	0	2341	0	4656	0
11/05/2016	Jacksonville St.	Jacksonville	Mixed	2288	0	2332	0	4620	0
11/18/2016	Jacksonville St.	Jacksonville	Mixed	2305	0	2335	0	4640	0
01/14/2017	Jacksonville St.	USAFA	Mixed	2292	0	2334	0	4626	0
01/16/2017	Jacksonville St.	USAFA	Mixed	2284	0	2340	0	4624	0
01/20/2017	Jacksonville St.	Murray	Mixed	2301	0	2345	0	4646	0
01/28/2017	Jacksonville St.	Memphis	Mixed	2296	0	2332	0	4628	0
02/03/2017	Jacksonville St.	Morehead	Mixed	2298	0	2349	0	4647	0
02/11/2017	Jacksonville St.	Jacksonville	Mixed	2318	0	2335	0	4653	0
02/18/2017	Jacksonville St.	University	Mixed	0	0	0	0	0	0
10/01/2016	John Jay	Annapolis	Mixed	2118	0	2272	0	4390	0
10/08/2016	John Jay	Akron	Mixed	2100	50	2191	0	4291	50
10/22/2016	John Jay	Philadelphia	Mixed	2123	0	2258	0	4381	0
10/29/2016	John Jay	Cambridge	Mixed	2110	0	2225	92	4335	92
11/12/2016	John Jay	New London	Mixed	2164	0	2277	0	4441	0
11/19/2016	John Jay	Cambridge	Mixed	2110	0	2257	0	4367	0
02/11/2017	John Jay	Philadelphia	Mixed	2157	0	2253	0	4410	0
02/18/2017	John Jay	Annapolis	Mixed	0	0	0	0	0	0
09/21/2016	Kentucky	University	Mixed	2311	136	2369	247	4680	383
10/08/2016	Kentucky	Lexington	Mixed	2289	0	2338	0	4627	0
10/15/2016	Kentucky	Annapolis	Mixed	2328	0	2360	0	4688	0
10/29/2016	Kentucky	Lexington	Mixed	2335	0	2369	0	4704	0
11/04/2016	Kentucky	Lexington	Mixed	2345	0	2360	0	4705	0
11/06/2016	Kentucky	Lexington	Mixed	2314	0	2369	0	4683	0
11/18/2016	Kentucky	Fairbanks	Mixed	2323	0	2365	0	4688	0
11/19/2016	Kentucky	Fairbanks	Mixed	2304	255	2363	419	4667	674
01/14/2017	Kentucky	University	Mixed	2307	164	2357	231	4664	395
01/15/2017	Kentucky	University	Mixed	2298	0	2362	0	4660	0
01/20/2017	Kentucky	Murray	Mixed	2318	0	2361	0	4679	0
01/29/2017	Kentucky	Columbus	Mixed	2306	0	2365	0	4671	0
02/11/2017	Kentucky	Lexington	Mixed	2319	0	2356	0	4675	0
02/18/2017	Kentucky	Lexington	Mixed	0	0	0	0	0	0
09/21/2016	Memphis	University	Mixed	2312	190	2337	289	4649	479
09/24/2016	Memphis	Memphis	Mixed	2310	128	2345	287	4655	415
10/09/2016	Memphis	Annapolis	Mixed	2311	0	2358	0	4669	0
10/10/2016	Memphis	West Point	Mixed	2308	161	2344	221	4652	382
10/29/2016	Memphis	Memphis	Mixed	2304	189	2333	239	4637	428
11/05/2016	Memphis	Morgantown	Mixed	2310	0	2340	0	4650	0
11/12/2016	Memphis	Columbus	Mixed	2292	0	2340	0	4632	0
11/18/2016	Memphis	Jacksonville	Mixed	2317	0	2350	0	4667	0
01/15/2017	Memphis	University	Mixed	2268	0	2339	0	4607	0
01/20/2017	Memphis	Murray	Mixed	2303	0	2339	0	4642	0
01/28/2017	Memphis	Memphis	Mixed	2303	0	2347	0	4650	0
02/11/2017	Memphis	Memphis	Mixed	2279	0	2336	0	4615	0
02/18/2017	Memphis	Murray	Mixed	0	0	0	0	0	0
10/10/2016	MIT	West Point	Mixed	2054	36	2171	71	4225	107
10/22/2016	MIT	Cambridge	Mixed	2087	0	2114	0	4201	0
10/29/2016	MIT	Cambridge	Mixed	2121	0	2156	0	4277	0
11/12/2016	MIT	Cambridge	Mixed	2080	0	2122	0	4202	0
11/13/2016	MIT	Cambridge	Mixed	2119	0	2148	17	4267	17
11/19/2016	MIT	Cambridge	Mixed	2079	0	2186	0	4265	0
01/28/2017	MIT	Philadelphia	Mixed	2072	0	2138	0	4210	0
02/04/2017	MIT	Cambridge	Mixed	1983	0	2136	0	4119	0
02/05/2017	MIT	Cambridge	Mixed	1999	34	2118	65	4117	99
02/18/2017	MIT	New London	Mixed	0	0	0	0	0	0
10/15/2016	Morehead St.	Morehead	Mixed	2286	0	2326	0	4612	0
10/16/2016	Morehead St.	Morehead	Mixed	2278	0	2334	0	4612	0
10/22/2016	Morehead St.	University	Mixed	2276	222	2328	336	4604	558
10/29/2016	Morehead St.	Morehead	Mixed	2276	0	2342	0	4618	0
10/30/2016	Morehead St.	Morehead	Mixed	2279	0	2335	0	4614	0
11/05/2016	Morehead St.	Morehead	Mixed	2292	0	2311	0	4603	0
11/12/2016	Morehead St.	Lexington	Mixed	2279	0	2325	0	4604	0
01/14/2017	Morehead St.	Palmyra	Mixed	2273	216	2317	294	4590	510
02/03/2017	Morehead St.	Morehead	Mixed	2292	0	2340	0	4632	0
02/11/2017	Morehead St.	Jacksonville	Mixed	2307	0	2322	0	4629	0
02/18/2017	Morehead St.	Lexington	Mixed	0	0	0	0	0	0
09/21/2016	Murray St.	University	Mixed	2326	183	2364	257	4690	440
09/25/2016	Murray St.	Murray	Mixed	2331	206	2366	291	4697	497
10/22/2016	Murray St.	Murray	Mixed	2327	0	2369	0	4696	0
10/30/2016	Murray St.	Murray	Mixed	2353	0	2365	0	4718	0
11/05/2016	Murray St.	Morehead	Mixed	2322	0	2378	0	4700	0
11/12/2016	Murray St.	Columbus	Mixed	2334	0	2379	0	4713	0
11/18/2016	Murray St.	Jacksonville	Mixed	2348	0	2372	0	4720	0
01/14/2017	Murray St.	University	Mixed	2334	217	2374	335	4708	552
01/20/2017	Murray St.	Murray	Mixed	2337	0	2369	0	4706	0
02/03/2017	Murray St.	Morehead	Mixed	2319	0	2371	0	4690	0
02/12/2017	Murray St.	Lexington	Mixed	2340	0	2373	0	4713	0
02/18/2017	Murray St.	Murray	Mixed	0	0	0	0	0	0
10/01/2016	Navy	Annapolis	Mixed	2283	0	2351	0	4634	0
10/08/2016	Navy	Annapolis	Mixed	2295	0	2330	0	4625	0
10/09/2016	Navy	Annapolis	Mixed	2307	0	2341	0	4648	0
10/15/2016	Navy	Annapolis	Mixed	2309	0	2336	0	4645	0
10/29/2016	Navy	Charleston	Mixed	2304	0	2321	0	4625	0
11/05/2016	Navy	USAFA	Mixed	2272	0	2335	0	4607	0
01/14/2017	Navy	Palmyra	Mixed	2304	189	2336	245	4640	434
01/20/2017	Navy	Morgantown	Mixed	2311	0	2340	0	4651	0
01/21/2017	Navy	Morgantown	Mixed	2288	0	2341	0	4629	0
02/05/2017	Navy	West Point	Mixed	2282	164	2342	304	4624	468
02/18/2017	Navy	Annapolis	Mixed	0	0	0	0	0	0
10/15/2016	Nebraska	University	Mixed	2307	246	2352	375	4659	621
10/29/2016	Nebraska	Lincoln	Mixed	2302	123	2360	199	4662	322
11/05/2016	Nebraska	Lexington	Mixed	2315	0	2348	0	4663	0
11/06/2016	Nebraska	Lexington	Mixed	2313	0	2362	0	4675	0
11/12/2016	Nebraska	Lincoln	Mixed	2300	0	2364	0	4664	0
11/13/2016	Nebraska	Lincoln	Mixed	2307	32	2361	0	4668	32
01/15/2017	Nebraska	West Point	Mixed	2310	181	2368	293	4678	474
01/16/2017	Nebraska	West Point	Mixed	2299	213	2366	280	4665	493
01/21/2017	Nebraska	Morgantown	Mixed	2315	0	2362	0	4677	0
01/22/2017	Nebraska	Morgantown	Mixed	2303	0	2343	0	4646	0
01/28/2017	Nebraska	Memphis	Mixed	2301	0	2355	0	4656	0
02/02/2017	Nebraska	Lincoln	Mixed	2316	0	2367	0	4683	0
02/18/2017	Nebraska	Murray	Mixed	0	0	0	0	0	0
09/24/2016	Nevada	Reno	Mixed	2303	0	2358	0	4661	0
10/01/2016	Nevada	Reno	Mixed	2300	0	2356	0	4656	0
10/08/2016	Nevada	El Paso	Mixed	2292	0	2352	0	4644	0
10/15/2016	Nevada	Reno	Mixed	2305	0	2343	0	4648	0
10/22/2016	Nevada	USAFA	Mixed	2292	0	2351	0	4643	0
10/23/2016	Nevada	USAFA	Mixed	2296	0	2350	0	4646	0
10/29/2016	Nevada	Fort Worth	Mixed	2313	33	2352	44	4665	77
11/06/2016	Nevada	Reno	Mixed	2292	0	2362	0	4654	0
11/12/2016	Nevada	Columbus	Mixed	2306	0	2363	0	4669	0
02/04/2017	Nevada	Columbus	Mixed	2297	132	2362	240	4659	372
02/18/2017	Nevada	El Paso	Mixed	0	0	0	0	0	0
10/15/2016	North Carolina St.	Raleigh	Mixed	2305	141	2366	228	4671	369
10/22/2016	North Carolina St.	Akron	Mixed	2297	197	2353	0	4650	197
10/23/2016	North Carolina St.	Akron	Mixed	2298	171	2352	272	4650	443
10/29/2016	North Carolina St.	Charleston	Mixed	2297	0	2358	6	4655	6
11/12/2016	North Carolina St.	Columbus	Mixed	2288	0	2354	0	4642	0
11/18/2016	North Carolina St.	Fairbanks	Mixed	2306	0	2352	0	4658	0
11/20/2016	North Carolina St.	Fairbanks	Mixed	2286	134	2361	246	4647	380
01/14/2017	North Carolina St.	West Point	Mixed	2313	188	2360	328	4673	516
01/15/2017	North Carolina St.	West Point	Mixed	2315	225	2350	304	4665	529
01/20/2017	North Carolina St.	Murray	Mixed	2303	0	2356	0	4659	0
01/22/2017	North Carolina St.	Murray	Mixed	2308	0	2350	0	4658	0
01/28/2017	North Carolina St.	Raleigh	Mixed	2299	133	2358	216	4657	349
02/04/2017	North Carolina St.	Charleston	Mixed	2322	0	2339	0	4661	0
02/18/2017	North Carolina St.	Charleston	Mixed	0	0	0	0	0	0
09/21/2016	North Georgia	University	Mixed	2250	125	2313	188	4563	313
10/08/2016	North Georgia	Lexington	Mixed	2272	0	2335	93	4607	93
10/22/2016	North Georgia	Dahlonega	Mixed	2260	0	2315	0	4575	0
10/29/2016	North Georgia	Morehead	Mixed	2272	0	2316	0	4588	0
11/06/2016	North Georgia	Dahlonega	Mixed	2272	0	2309	0	4581	0
11/12/2016	North Georgia	Lexington	Mixed	2279	0	2302	0	4581	0
11/18/2016	North Georgia	Jacksonville	Mixed	2285	0	2291	0	4576	0
01/20/2017	North Georgia	Murray	Mixed	2241	0	2289	0	4530	0
01/28/2017	North Georgia	Charleston	Mixed	2252	0	2295	3	4547	3
01/28/2017	North Georgia	Raleigh	Mixed	2260	98	2287	157	4547	255
02/04/2017	North Georgia	Charleston	Mixed	2261	0	2289	0	4550	0
02/11/2017	North Georgia	Unkown	Mixed	2215	0	2284	0	4499	0
02/18/2017	North Georgia	Charleston	Mixed	0	0	0	0	0	0
03/04/2017	North Georgia	Charleston	Mixed	0	0	0	0	0	0
09/24/2016	Ohio State	Reno	Mixed	2309	0	2359	0	4668	0
10/02/2016	Ohio State	Morgantown	Mixed	2312	334	2362	0	4674	334
10/14/2016	Ohio State	Fairbanks	Mixed	2314	183	2363	288	4677	471
10/15/2016	Ohio State	Fairbanks	Mixed	2315	177	2362	274	4677	451
10/23/2016	Ohio State	Columbus	Mixed	2314	0	2356	0	4670	0
10/29/2016	Ohio State	Lincoln	Mixed	2310	138	2352	189	4662	327
11/05/2016	Ohio State	El Paso	Mixed	2311	0	2367	0	4678	0
11/06/2016	Ohio State	El Paso	Mixed	2314	0	2362	0	4676	0
11/12/2016	Ohio State	Columbus	Mixed	2302	0	2373	0	4675	0
01/14/2017	Ohio State	USAFA	Mixed	2299	0	2374	0	4673	0
01/16/2017	Ohio State	USAFA	Mixed	2306	0	2360	0	4666	0
01/21/2017	Ohio State	Fort Worth	Mixed	2333	0	2365	0	4698	0
01/22/2017	Ohio State	Fort Worth	Mixed	2328	0	2370	0	4698	0
01/29/2017	Ohio State	Columbus	Mixed	2316	0	2368	0	4684	0
02/04/2017	Ohio State	Columbus	Mixed	2320	244	2371	337	4691	581
02/18/2017	Ohio State	Columbus	Mixed	0	0	0	0	0	0
09/21/2016	Ole Miss	University	Mixed	2289	209	2352	277	4641	486
09/24/2016	Ole Miss	Memphis	Mixed	2295	185	2354	319	4649	504
10/15/2016	Ole Miss	University	Mixed	2297	220	2357	286	4654	506
10/22/2016	Ole Miss	University	Mixed	2295	222	2347	310	4642	532
10/29/2016	Ole Miss	Jacksonville	Mixed	2313	0	2342	0	4655	0
11/11/2016	Ole Miss	West Point	Mixed	2293	140	2349	184	4642	324
11/12/2016	Ole Miss	West Point	Mixed	2290	135	2354	233	4644	368
01/14/2017	Ole Miss	University	Mixed	2279	177	2345	299	4624	476
01/14/2017	Ole Miss	Palmyra	Mixed	2280	153	2353	214	4633	367
01/22/2017	Ole Miss	Murray	Mixed	2297	0	2356	0	4653	0
02/04/2017	Ole Miss	Lexington	Mixed	2296	0	2352	0	4648	0
02/11/2017	Ole Miss	Memphis	Mixed	2297	0	2343	0	4640	0
02/18/2017	Ole Miss	University	Mixed	0	0	0	0	0	0
10/01/2016	TCU	Charleston	Mixed	2340	0	2378	0	4718	0
10/08/2016	TCU	Fairbanks	Mixed	2334	235	2375	393	4709	628
10/10/2016	TCU	Fairbanks	Mixed	2335	261	2378	404	4713	665
10/22/2016	TCU	Murray	Mixed	2345	0	2375	0	4720	0
10/29/2016	TCU	Fort Worth	Mixed	2332	86	2376	92	4708	178
11/05/2016	TCU	El Paso	Mixed	2321	0	2365	0	4686	0
11/12/2016	TCU	Fort Worth	Mixed	2341	0	2371	0	4712	0
11/13/2016	TCU	Fort Worth	Mixed	2353	0	2375	0	4728	0
11/20/2016	TCU	West Point	Mixed	2349	249	2377	383	4726	632
01/21/2017	TCU	Fort Worth	Mixed	2336	0	2369	0	4705	0
02/04/2017	TCU	Columbus	Mixed	2343	182	2383	280	4726	462
02/11/2017	TCU	Fort Worth	Mixed	2336	0	2378	0	4714	0
02/18/2017	TCU	Fort Worth	Mixed	0	0	0	0	0	0
10/08/2016	USciences	Annapolis	Mixed	2170	0	2162	0	4332	0
10/22/2016	USciences	Philadelphia	Mixed	2172	0	2179	0	4351	0
10/29/2016	USciences	Philadelphia	Mixed	2192	0	2187	0	4379	0
11/05/2016	USciences	Lexington	Mixed	2150	0	2187	0	4337	0
11/12/2016	USciences	Cambridge	Mixed	2162	0	2157	0	4319	0
11/13/2016	USciences	Cambridge	Mixed	2172	0	2156	31	4328	31
11/18/2016	USciences	New London	Mixed	2162	0	2191	0	4353	0
01/28/2017	USciences	Philadelphia	Mixed	2158	0	2144	0	4302	0
02/11/2017	USciences	Philadelphia	Mixed	2179	0	2206	0	4385	0
02/18/2017	USciences	West Point	Mixed	0	0	0	0	0	0
09/21/2016	UT Martin	University	Mixed	2269	100	2327	180	4596	280
09/24/2016	UT Martin	Memphis	Mixed	2254	89	2307	139	4561	228
09/25/2016	UT Martin	Murray	Mixed	2270	0	2300	0	4570	0
10/29/2016	UT Martin	Memphis	Mixed	2285	113	2322	175	4607	288
10/30/2016	UT Martin	Murray	Mixed	2284	0	2321	0	4605	0
11/05/2016	UT Martin	Jacksonville	Mixed	2283	0	2313	0	4596	0
11/06/2016	UT Martin	Dahlonega	Mixed	2272	0	2324	0	4596	0
01/17/2017	UT Martin	Martin	Mixed	2259	0	2308	0	4567	0
01/20/2017	UT Martin	Murray	Mixed	2286	0	2306	0	4592	0
02/03/2017	UT Martin	Morehead	Mixed	2283	0	2317	0	4600	0
02/18/2017	UT Martin	Murray	Mixed	0	0	0	0	0	0
09/21/2016	UT Martin (W)	University	Women's	2249	75	2287	110	4536	185
09/24/2016	UT Martin (W)	Memphis	Women's	2224	75	2288	131	4512	206
09/25/2016	UT Martin (W)	Murray	Women's	2226	0	2273	0	4499	0
10/29/2016	UT Martin (W)	Memphis	Women's	2259	92	2299	155	4558	247
10/30/2016	UT Martin (W)	Murray	Women's	2274	0	2294	0	4568	0
11/05/2016	UT Martin (W)	Jacksonville	Women's	2233	0	2260	0	4493	0
11/06/2016	UT Martin (W)	Dahlonega	Women's	2236	0	2308	0	4544	0
01/17/2017	UT Martin (W)	Martin	Women's	2243	0	2299	0	4542	0
01/20/2017	UT Martin (W)	Murray	Women's	2273	0	2289	0	4562	0
02/03/2017	UT Martin (W)	Morehead	Women's	2214	0	2265	0	4479	0
02/18/2017	UT Martin (W)	Murray	Women's	0	0	0	0	0	0
10/01/2016	UTEP	Reno	Mixed	2273	0	2304	0	4577	0
10/08/2016	UTEP	El Paso	Mixed	2269	0	2348	0	4617	0
10/22/2016	UTEP	USAFA	Mixed	2280	0	2342	0	4622	0
10/23/2016	UTEP	USAFA	Mixed	2281	0	2341	0	4622	0
11/04/2016	UTEP	El Paso	Mixed	2271	0	2329	0	4600	0
11/06/2016	UTEP	El Paso	Mixed	2247	0	2329	0	4576	0
11/12/2016	UTEP	Lincoln	Mixed	2254	0	2324	0	4578	0
11/13/2016	UTEP	Lincoln	Mixed	2255	0	2333	0	4588	0
02/04/2017	UTEP	Columbus	Mixed	2249	96	2342	199	4591	295
02/11/2017	UTEP	Fort Worth	Mixed	2283	0	2333	0	4616	0
02/18/2017	UTEP	El Paso	Mixed	0	0	0	0	0	0
09/24/2016	VMI	Lexington	Mixed	2207	0	2272	0	4479	0
10/01/2016	VMI	Annapolis	Mixed	2230	0	2277	0	4507	0
10/15/2016	VMI	Morehead	Mixed	2212	0	2289	0	4501	0
10/29/2016	VMI	Lexington	Mixed	2216	0	2271	0	4487	0
11/05/2016	VMI	Lexington	Mixed	2219	0	2290	0	4509	0
11/12/2016	VMI	Lexington	Mixed	2194	0	2292	0	4486	0
01/28/2017	VMI	Charleston	Mixed	2211	0	2277	0	4488	0
02/11/2017	VMI	Lexington	Mixed	2201	0	2289	0	4490	0
02/18/2017	VMI	Lexington	Mixed	0	0	0	0	0	0
03/04/2017	VMI	Charleston	Mixed	0	0	0	0	0	0
09/24/2016	VMI (W)	Lexington	Women's	2159	0	2264	0	4423	0
10/01/2016	VMI (W)	Annapolis	Women's	2183	0	2249	0	4432	0
10/15/2016	VMI (W)	Morehead	Women's	2177	0	2249	0	4426	0
10/29/2016	VMI (W)	Lexington	Women's	2171	0	2238	0	4409	0
11/05/2016	VMI (W)	Lexington	Women's	2181	0	2235	0	4416	0
11/12/2016	VMI (W)	Lexington	Women's	2173	0	2255	0	4428	0
01/28/2017	VMI (W)	Charleston	Women's	2158	0	2250	0	4408	0
02/11/2017	VMI (W)	Lexington	Women's	2171	0	2221	0	4392	0
02/18/2017	VMI (W)	Lexington	Women's	0	0	0	0	0	0
03/04/2017	VMI (W)	Charleston	Women's	0	0	0	0	0	0
10/02/2016	West Virginia	Morgantown	Mixed	2348	210	2366	0	4714	210
10/15/2016	West Virginia	Raleigh	Mixed	2334	181	2375	253	4709	434
10/22/2016	West Virginia	Akron	Mixed	2346	232	2378	0	4724	232
10/23/2016	West Virginia	Columbus	Mixed	2341	0	2380	0	4721	0
11/05/2016	West Virginia	Morgantown	Mixed	2351	0	2362	0	4713	0
11/12/2016	West Virginia	West Point	Mixed	2333	166	2371	246	4704	412
11/13/2016	West Virginia	West Point	Mixed	2338	146	2374	259	4712	405
01/10/2017	West Virginia	Morgantown	Mixed	2343	0	2374	0	4717	0
01/20/2017	West Virginia	Morgantown	Mixed	2341	0	2384	0	4725	0
