Name	School	SB Average	# SB Matches	AR Average	# AR Matches	Agg Average
Caitlyn Ford	North Carolina St.	569.692307692308	13	583.769230769231	13	1153.46153846154
Jamie Foster	VMI (W)	0	0	509.666666666667	3	509.666666666667
Carmen Fry	Kentucky	571	9	581.5	8	1152.5
Marissa Furney	Columbus St.	0	0	0	0	0
Kayla Gadeken	Nebraska	569.6	10	583.5	10	1153.1
Harley Gardner	Ole Miss	575.75	12	586.583333333333	12	1162.33333333333
Mike Garner	Army	562.727272727273	11	572.7	10	1135.42727272727
Rachel Garner	TCU	583.166666666667	12	593.916666666667	12	1177.08333333333
Amy Gentry	Alaska Fairbanks	572.272727272727	11	583.909090909091	11	1156.18181818182
David Geresy	Rose-Hulman	0	0	0	0	0
Maneva Gill	Nevada	0	0	581	2	581
Lucas Gilliland	North Georgia	545.3	10	571.111111111111	9	1116.41111111111
Maddie Godwin	North Georgia	0	0	0	0	0
Sydney Goldschlag	Akron	555.166666666667	6	572.166666666667	6	1127.33333333333
Ariana Grabowski	TCU	585.25	12	585.083333333333	12	1170.33333333333
Lily Graham	John Jay	556.571428571429	7	574.857142857143	7	1131.42857142857
Marshall Grant	Coast Guard	524.888888888889	9	543.666666666667	9	1068.55555555556
Elizabeth Gratz	West Virginia	583.333333333333	12	592.833333333333	12	1176.16666666667
Rebecca Green	Akron	546.333333333333	6	572	6	1118.33333333333
Maggie Guetersloh	Navy	552.6	5	572.4	5	1125
Emily Haag	TCU	559.666666666667	9	575.8	10	1135.46666666667
Jess Haig	Ole Miss	574	12	587.833333333333	12	1161.83333333333
Dan Hall	Morehead St.	566.9	10	569.333333333333	9	1136.23333333333
Amy Hammer	Navy	572.2	5	585.8	5	1158
Nicole Hankey	TCU	579.166666666667	12	588.636363636364	11	1167.80303030303
Alexandria Harrington	Coast Guard	560.625	8	570.125	8	1130.75
Julia Hatch	Akron	572.9	10	575.9	10	1148.8
Trace Haynes	Jacksonville St.	570.333333333333	12	578.818181818182	11	1149.15151515152
Efraim Helman	MIT	439	1	468	2	907
Yaakov Helman	MIT	395	1	462	1	857
Joelle Henry	VMI (W)	0	0	528	3	528
Brandon Henson	Jacksonville St.	556.5	2	574.75	4	1131.25
Brianna Henthorn	Columbus St.	0	0	0	0	0
Jesus Herrera	MIT	498.333333333333	6	503.333333333333	6	1001.66666666667
Sarah Hickey	North Carolina St.	569	1	574	1	1143
Andrew Hickey	VMI	558.428571428571	7	570.125	8	1128.55357142857
Lindsey Hill	Alabama Birmingham	0	0	516	2	516
Cierra Holcombe	Wofford	556.8	5	563.714285714286	7	1120.51428571429
Carson Howell	Wofford	0	0	486	1	486
Rachel Hubal	USciences	517.428571428571	7	507.555555555556	9	1024.98412698413
Shelby Huber	Murray St.	571	6	581.833333333333	6	1152.83333333333
Logan Hunt	UT Martin	551.5	8	569.444444444444	9	1120.94444444444
Nicholas Hunter	Wofford	526.8	5	553.857142857143	7	1080.65714285714
Zachry Hunter	Wofford	500.5	2	518.571428571429	7	1019.07142857143
Jacob Hunter	VMI	542.8	5	573.625	8	1116.425
Anthony Jackson	Akron	568.777777777778	9	578.5	10	1147.27777777778
Ryan Jacobs	Air Force	581.090909090909	11	591.909090909091	11	1173
Sarah Jameson	Nevada	572.3	10	588.7	10	1161
Rachel Jankelow	VMI (W)	530.166666666667	6	556.5	8	1086.66666666667
Zachary Johnson	VMI	554.375	8	561	3	1115.375
Luke Johnson	Alaska Fairbanks	578.636363636364	11	585.818181818182	11	1164.45454545455
Daniel Jonas	Navy	578.5	10	584	10	1162.5
Nick Kanellis	Army	559.125	8	577.125	8	1136.25
Angela Kang	USciences	519.888888888889	9	528.444444444444	9	1048.33333333333
Kera Kaufman	Akron	554.666666666667	6	574.5	6	1129.16666666667
Alana Kelly	Ole Miss	567.166666666667	12	579.166666666667	12	1146.33333333333
Rachel Kimbell	TCU	571.181818181818	11	579.4	10	1150.58181818182
Jessica Kinder	UTEP	0	0	586.333333333333	6	586.333333333333
Isaac King	Alabama Birmingham	0	0	540	4	540
Heather Kirby	Kentucky	576.416666666667	12	594.583333333333	12	1171
Alli Kissell	Ohio State	573	5	581.75	4	1154.75
Ronald Kopec	John Jay	483	7	562.833333333333	6	1045.83333333333
Kaitlin Korinek	UT Martin	570.8	10	584.2	10	1155
Maddie Korthas	Nebraska	556.4	5	578.2	5	1134.6
Eliza Kotowska	John Jay	0	0	532.5	2	532.5
Joshua Kovach	Akron	561.8	5	576.5	6	1138.3
Lucas Kozeniesky	North Carolina St.	580.230769230769	13	595	13	1175.23076923077
Rosemary Kramer	Ga. Southern	552.714285714286	7	574.571428571429	7	1127.28571428571
Kestrel Kuhne	Navy	566.222222222222	9	579.666666666667	9	1145.88888888889
Noah Kwock	Air Force	0	0	572	1	572
Alexander Laiman	MIT	486.5	2	330.5	2	817
Eli Larimer	Nevada	572.7	10	582.7	10	1155.4
Nick Learn	Air Force	569.909090909091	11	584.909090909091	11	1154.81818181818
Gregory Lee	MIT	512.5	4	538.5	4	1051
Anthony Lee	Coast Guard	0	0	0	0	0
Tyler Lefebvre	North Carolina St.	547.666666666667	6	570.833333333333	6	1118.5
Tori Lewis	Ga. Southern	550	7	573.714285714286	7	1123.71428571429
Marvin Lewis	Army	577.272727272727	11	588.363636363636	11	1165.63636363636
Sally Li	TCU	580.416666666667	12	591.75	12	1172.16666666667
Rhianna Lichtenthal	Army	557.571428571429	7	578.428571428571	7	1136
Loyce Lightfoot	VMI (W)	540.5	8	547.5	4	1088
Kerrie Lightfoot	VMI (W)	499.25	4	553.571428571429	7	1052.82142857143
Shadonna Littlejohn	Citadel (W)	497.625	8	539.1	10	1036.725
Caleb Lloyd	Akron	574.1	10	579.222222222222	9	1153.32222222222
Kristie Lloyd	Alabama Birmingham	0	0	543	9	543
Morgan Long	Citadel	546.4	10	570.5	10	1116.9
Dylan Lorence	Coast Guard	543.75	8	542.375	8	1086.125
Randi Loudin	Ole Miss	565.666666666667	9	574	9	1139.66666666667
Jean-Pierre Lucas	West Virginia	585.083333333333	12	590.416666666667	12	1175.5
Mathew Lusardi	VMI	546.833333333333	6	564.4	5	1111.23333333333
Casey Lutz	TCU	583.916666666667	12	591.166666666667	12	1175.08333333333
Sagen Maddalena	Alaska Fairbanks	585.545454545455	11	595.818181818182	11	1181.36363636364
Brittany Mahoney	USciences	411.666666666667	3	449.5	2	861.166666666667
Nick Makosiej	USciences	416.666666666667	3	460	2	876.666666666667
Chris Makosiej	USciences	437.75	4	484.25	4	922
Marko Maksimovic	Columbus St.	0	0	0	0	0
Danielle Makucevich	Akron	555	1	566.5	2	1121.5
Kris Mantel	Akron	536	3	562	3	1098
Will Marciniak	North Carolina St.	573.615384615385	13	576.25	12	1149.86538461538
Rachel Martin	Nebraska	576.75	12	589.916666666667	12	1166.66666666667
Joe Martin	UT Martin	580.2	10	582.6	10	1162.8
Mackenzie Martin	Murray St.	582.090909090909	11	593.090909090909	11	1175.18181818182
Mark Matheny	Ohio State	577.2	15	588.8	15	1166
Kelly Mathesius	MIT	536.777777777778	9	554.222222222222	9	1091
Sonya May	Kentucky	576.416666666667	12	586.333333333333	12	1162.75
Amanda Mayo	UT Martin (W)	540.2	5	551.125	8	1091.325
Alexander McAlear	Citadel	547.75	12	564.5	12	1112.25
Patrick Meyer	Citadel	540.444444444444	9	556	9	1096.44444444444
Jennifer Middlebrook	Ga. Southern	510	2	528	2	1038
Mindy Miles	TCU	583.363636363636	11	596.818181818182	11	1180.18181818182
Andrew Miller	Kentucky	555.25	4	573.75	4	1129
Jordan Miller	Nebraska	570	1	585	1	1155
Catherine Miller	TCU	572.545454545455	11	589.833333333333	12	1162.37878787879
Elijah Miller	MIT	442.4	5	481	7	923.4
Chris Milliken	VMI	533.666666666667	3	565	7	1098.66666666667
Dylan Modesitt	MIT	519	6	520.333333333333	6	1039.33333333333
Abby Monique	UTEP	561.9	10	577.8	10	1139.7
Brent Morgan	Akron	0	0	556.333333333333	3	556.333333333333
Kaitlyn Morrison	VMI (W)	0	0	554	1	554
Libby Mostert	Army	563.75	8	577.625	8	1141.375
Jesse Moyer	Morehead St.	564.571428571429	7	582.5	8	1147.07142857143
Brandon Muske	Jacksonville St.	574.153846153846	13	592.076923076923	13	1166.23076923077
Alex Muzzioli	Navy	570.8	10	579.8	10	1150.6
Sarah Nakata	Army	0	0	581.666666666667	3	581.666666666667
Thomas Nelligan	USciences	236	1	316	1	552
Grace Nelson	Alaska Fairbanks	567.166666666667	6	575.285714285714	7	1142.45238095238
Maranda Nelson	UTEP	555.875	8	571.5	8	1127.375
Kevin Ng	MIT	526.8	5	537	5	1063.8
Kaden Nichols	Coast Guard	0	0	521.333333333333	6	521.333333333333
Jennifer Nishida	Rose-Hulman	0	0	0	0	0
Justin Nissen	Nevada	568.2	10	584.222222222222	9	1152.42222222222
Marina Noble	Ole Miss	565	5	0	0	565
Payne Nunn	Army	574.727272727273	11	584	11	1158.72727272727
Lydia Odlin	Ga. Southern	529.166666666667	6	562.166666666667	6	1091.33333333333
Logan Ogden	Air Force	578.363636363636	11	590.818181818182	11	1169.18181818182
Connor O'Mara	Akron	567.2	10	581.3	10	1148.5
Kelly Orck	Columbus St.	0	0	0	0	0
Kyle Ordille	Jacksonville St.	562.25	4	573.8	5	1136.05
John Overton	Rose-Hulman	0	0	0	0	0
Alex Pacheco	MIT	474	7	500.875	8	974.875
Nicholas Paisker	Coast Guard	554.181818181818	11	574.272727272727	11	1128.45454545455
Cathryn Papasodora	Kentucky	573.1	10	589.2	10	1162.3
Richie Parra	Citadel	538	10	569.181818181818	11	1107.18181818182
Hannah Peevy	North Georgia	0	0	0	0	0
Derya Pekari	North Carolina St.	563.909090909091	11	581.181818181818	11	1145.09090909091
Carleigh Peters	Jacksonville St.	561	4	580.8	10	1141.8
Samantha Peterson	Nebraska	578.5	12	586.666666666667	12	1165.16666666667
Kevin Petrovic	MIT	474.333333333333	3	456.666666666667	3	931
Morgan Phillips	West Virginia	582.333333333333	12	588.090909090909	11	1170.42424242424
Lauren Phillips	North Carolina St.	578.307692307692	13	592.461538461538	13	1170.76923076923
Brandon Pippin	Navy	527	1	574.5	8	1101.5
John Pitman	VMI	545.714285714286	7	556	1	1101.71428571429
Jennifer Plocinik	UT Martin (W)	563.7	10	573.5	10	1137.2
Colton Poole	Citadel	557.166666666667	12	572.25	12	1129.41666666667
Matt Popowicz	USciences	520.333333333333	9	515.888888888889	9	1036.22222222222
Alexa Potts	Morehead St.	567.6	10	576.8	10	1144.4
Karly Potts	Morehead St.	562.111111111111	9	584.7	10	1146.81111111111
Bailey Powell	UTEP	564.5	10	588.4	10	1152.9
Tierra Price	Citadel (W)	462.875	8	506.222222222222	9	969.097222222222
Chastity Price	Ga. Southern	525	6	547	6	1072
Andrej Quatrone	USciences	498.833333333333	6	505.5	8	1004.33333333333
Garrett Rabel	Jacksonville St.	570.545454545455	11	575.428571428571	7	1145.97402597403
Nina Radulovic	Nebraska	574	12	585.166666666667	12	1159.16666666667
Tyler Ramos	Jacksonville St.	569.428571428571	7	579	5	1148.42857142857
Meraleigh Randle	TCU	0	0	557.5	2	557.5
Barrett Ray	TCU	573.454545454546	11	585.909090909091	11	1159.36363636364
Paul Raynolds	Coast Guard	0	0	0	0	0
Nick Reynolds	VMI	550.5	8	565.875	8	1116.375
Marlee Reynolds	Akron	542	2	552	2	1094
Jared Rice	North Georgia	563.285714285714	7	572.142857142857	7	1135.42857142857
Mekenna Richardson	Jacksonville St.	575.769230769231	13	579.25	12	1155.01923076923
Nash Richardson	Navy	567.75	8	571.571428571429	7	1139.32142857143
Thomas Rick	MIT	480.25	8	507	7	987.25
Eli Rischling	Memphis	564.083333333333	12	571.727272727273	11	1135.81060606061
Meghan Robertson	Columbus St.	0	0	0	0	0
Ivan Roe	Murray St.	588.1	10	594.1	10	1182.2
Sean Roehrs	Akron	556.6	5	568.2	5	1124.8
David Rose	Coast Guard	487.333333333333	6	524.25	4	1011.58333333333
Mara Rouse	UTEP	560.777777777778	9	574.4	10	1135.17777777778
Susana Sanchez	John Jay	456.333333333333	6	537.666666666667	6	994
Tobin Sanctuary	North Georgia	564	12	566	10	1130
Samantha Sandifer	Ole Miss	555.5	8	575.555555555556	9	1131.05555555556
Carter Santrock	Jacksonville St.	571.083333333333	12	583.384615384615	13	1154.46794871795
Thomas Sarant	Navy	570.3	10	585.2	10	1155.5
Patrick Sardo	Ohio State	541	3	560.333333333333	3	1101.33333333333
Ida Sato	John Jay	495.571428571429	7	546.285714285714	7	1041.85714285714
Brianna Sawyers	UT Martin (W)	558	10	573.6	10	1131.6
Jason Scharbel	Kentucky	576.666666666667	12	583.583333333333	12	1160.25
Barbara Schlapfer	Murray St.	580.333333333333	9	587.444444444444	9	1167.77777777778
Zach Schmidt	Jacksonville St.	572.416666666667	12	578.181818181818	11	1150.59848484848
JT Schnering	Alaska Fairbanks	572.636363636364	11	585.363636363636	11	1158
Sarah Schnupp	USciences	566.777777777778	9	570	9	1136.77777777778
Haylee Schoenrock	UTEP	563	9	578.555555555556	9	1141.55555555556
Rachael Schoenrock	UTEP	572.7	10	580.9	10	1153.6
Reid Schuster	Wofford	497	4	520.666666666667	6	1017.66666666667
Robert Scott	Alaska Fairbanks	567.636363636364	11	584.090909090909	11	1151.72727272727
Alathea Sellars	Murray St.	577.25	8	592.5	10	1169.75
Monthserrat Serna	UTEP	0	0	564	3	564
Jami Sexton	Nevada	0	0	0	0	0
Brianna Shaw	North Georgia	558.285714285714	7	568.833333333333	6	1127.11904761905
Logan Short	Alabama Birmingham	0	0	467	1	467
Mary Simonton	Air Force	0	0	0	0	0
Tommy Simrill	Citadel	511.125	8	549.444444444444	9	1060.56944444444
David Sink	Jacksonville St.	573.833333333333	12	578.666666666667	12	1152.5
Mallory Sisk	Alabama Birmingham	0	0	0	0	0
Eric Sloan	Murray St.	566.4	5	572.2	5	1138.6
Micah Smith	Alabama Birmingham	0	0	0	0	0
Allen Solida	Army	571.222222222222	9	580.222222222222	9	1151.44444444444
Joel Solis	MIT	466.666666666667	3	523.125	8	989.791666666667
Andrew Solomonides	Army	562.375	8	572.875	8	1135.25
Jason Spaude	Kentucky	576.583333333333	12	587.583333333333	12	1164.16666666667
Claire Spina	North Carolina St.	558.2	5	573.6	5	1131.8
Dakota Spivey	North Georgia	571.142857142857	7	588	7	1159.14285714286
Lauren Stabler	USciences	461.6	5	524.428571428571	7	986.028571428571
Michael Steinel	Ohio State	576.066666666667	15	590.066666666667	15	1166.13333333333
Alaric Stone	Coast Guard	0	0	535.666666666667	6	535.666666666667
Emily Stover	Alabama Birmingham	0	0	547.666666666667	9	547.666666666667
Zach Strohl	Akron	574.4	10	587.6	10	1162
Marc Suda	John Jay	466.375	8	526.857142857143	7	993.232142857143
Sarah Sutton	Nebraska	556	7	579	7	1135
Alyson Sylvester	UT Martin (W)	560	10	567.9	10	1127.9
Alex Tamboli	UT Martin	561.2	10	567	10	1128.2
Sara Tashima	Nevada	0	0	0	0	0
Nathan Taylor	Alaska Fairbanks	566.2	5	577.2	5	1143.4
Cierra Terrizzi	Akron	567.9	10	577.6	10	1145.5
Casey Thomas	Rose-Hulman	0	0	0	0	0
Chrissy Thomas	Ohio State	560.25	4	581.4	5	1141.65
Ginny Thrasher	West Virginia	589.5	10	596	10	1185.5
Christina Tipton	USciences	410.333333333333	3	423.5	2	833.833333333333
Faith Totherow	Citadel (W)	531.181818181818	11	531.909090909091	11	1063.09090909091
Rhiann Travis	Ohio State	573.25	12	591.666666666667	15	1164.91666666667
Kristyn Trump	Ole Miss	565.4	10	578.9	10	1144.3
Allie Tuman	USciences	511.142857142857	7	520.25	8	1031.39285714286
David Turner	North Georgia	551.75	8	570.1	10	1121.85
Nyjah Turner	Coast Guard	519.4	5	535.5	6	1054.9
Jillian Tyler	Ole Miss	564.090909090909	11	580.818181818182	11	1144.90909090909
Wesley Umbower	Rose-Hulman	0	0	0	0	0
Bailey Urbach	Ohio State	564.2	5	573	4	1137.2
Mitchell Van Patten	Nevada	581.4	10	590.8	10	1172.2
Anita Varkey	USciences	412.666666666667	3	489.333333333333	3	902
Hannah Virga	Nebraska	566.5	4	582.666666666667	3	1149.16666666667
Andrew Visconti	USciences	544.111111111111	9	546.222222222222	9	1090.33333333333
Ella Von Canon	Alabama Birmingham	0	0	551	3	551
Lilly Vonderau	Alabama Birmingham	552	1	571.333333333333	9	1123.33333333333
Abby Votava	Memphis	549	9	571.333333333333	9	1120.33333333333
Cullen Wargo	North Carolina St.	555	1	573	2	1128
Katherine Watson	VMI (W)	538.375	8	557.375	8	1095.75
Josh Watson	Navy	572.3	10	582.6	10	1154.9
Courtney Weekley	Ga. Southern	553.142857142857	7	574.857142857143	7	1128
Anna Weilbacher	Air Force	580.727272727273	11	590.181818181818	11	1170.90909090909
Ali Weisz	Ole Miss	575.333333333333	12	592	12	1167.33333333333
Melanie West	Morehead St.	555.375	8	567.777777777778	9	1123.15277777778
Brendan Whitaker	Ohio State	568.25	4	575.4	5	1143.65
George Williams	North Carolina St.	545	3	564.666666666667	3	1109.66666666667
Raven Wills	Citadel (W)	505.25	8	535.625	8	1040.875
Haley Wilson	Morehead St.	566.833333333333	6	581.833333333333	6	1148.66666666667
Quintin Wotring	Ohio State	572.222222222222	9	575.7	10	1147.92222222222
Rachel Yager	Nebraska	569	9	577.222222222222	9	1146.22222222222
Kathryn Youngblood	Ga. Southern	541.5	2	571.5	2	1113
Claire Zanti	North Carolina St.	568.818181818182	11	582.818181818182	11	1151.63636363636
Nick Zsoldos	USciences	529.444444444444	9	528	9	1057.44444444444
