Name	School	SB Average	# SB Matches	AR Average	# AR Matches	Agg Average
Kelia Aardema	VMI (W)	503	2	519	1	1022
Andrew Abernathy	North Georgia	559.666666666667	9	570.888888888889	9	1130.55555555556
Samantha Alexander	VMI (W)	548.375	8	568.5	8	1116.875
Jessica Ames	Rose-Hulman	0	0	0	0	0
Duncan Anderson	Columbus St.	0	0	0	0	0
Jack Anderson	West Virginia	562	11	581.25	12	1143.25
Will Anti	West Virginia	578.166666666667	12	584.916666666667	12	1163.08333333333
Gavin Asbury	VMI	514	1	0	0	514
Allison Auten	Citadel	546.083333333333	12	577.5	12	1123.58333333333
Ellana Avery	VMI (W)	522.833333333333	6	0	0	522.833333333333
Eric Azotea	North Georgia	0	0	0	0	0
Billy Azzinaro	Kentucky	578.333333333333	12	588.833333333333	12	1167.16666666667
Milica Babic	West Virginia	581.5	12	594.833333333333	12	1176.33333333333
Seth Baker	Morehead St.	571.4	10	575.777777777778	9	1147.17777777778
Sarah Banks	Alabama Birmingham	0	0	562.5	8	562.5
Alex Bapties	UT Martin	548.714285714286	7	567.555555555556	9	1116.26984126984
Noah Barker	West Virginia	0	0	0	0	0
Trent Bauters	Rose-Hulman	0	0	0	0	0
Hunter Behrends	Jacksonville St.	558.25	4	569.25	4	1127.5
Sabrina Bell	VMI (W)	0	0	551.5	4	551.5
Erin Bell	UT Martin (W)	0	0	543	1	543
Nicholle Benedict	TCU	554.25	4	577.25	4	1131.5
Rachel Benesh	Nevada	567.75	8	585.7	10	1153.45
Jack Berhorst	Memphis	575.1	10	576.4	10	1151.5
Jenna Bethea	Kentucky	566.555555555556	9	585.444444444444	9	1152
Deanna Binnie	Ohio State	570.2	5	578.666666666667	3	1148.86666666667
Josh Black	Ohio State	574.666666666667	15	587.466666666667	15	1162.13333333333
Spencer Brandon	Air Force	568	11	586.909090909091	11	1154.90909090909
Nathan Brewer	Army	576.363636363636	11	584	11	1160.36363636364
Katie Bridges	TCU	565	5	572.4	5	1137.4
Melissa Brizzi	Coast Guard	515.714285714286	7	531.142857142857	7	1046.85714285714
Bobby Broadstreet	Murray St.	579.181818181818	11	588.909090909091	11	1168.09090909091
Haylea Broughton	Memphis	570.916666666667	12	585.916666666667	12	1156.83333333333
Katie Brown	Nebraska	554	5	565.8	5	1119.8
Brandon Bryer	Morehead St.	569.7	10	578.333333333333	9	1148.03333333333
Jacob Buchanan	Ohio State	573.642857142857	14	589	14	1162.64285714286
Steven Bugg	Alabama Birmingham	0	0	524.8	5	524.8
Joseph Busching	Coast Guard	0	0	525.333333333333	6	525.333333333333
Soren Butler	Alaska Fairbanks	578.727272727273	11	588.363636363636	11	1167.09090909091
Spencer Cap	Air Force	579	11	593.090909090909	11	1172.09090909091
Emily Capaul	Nevada	570.4	10	588.111111111111	9	1158.51111111111
Allison Carlson	Rose-Hulman	0	0	0	0	0
Hanna Carr	Kentucky	582.666666666667	12	587.333333333333	12	1170
Hayley Carroll	Ole Miss	567.818181818182	11	583.083333333333	12	1150.90151515152
Jaycee Carter	Nebraska	570.083333333333	12	587.583333333333	12	1157.66666666667
William Caruso	MIT	497.875	8	521.625	8	1019.5
Drew Cheezum	Ohio State	581.533333333333	15	591.066666666667	15	1172.6
Alice Chiu	VMI (W)	548.4	5	564.2	5	1112.6
Lauryn Cinadr	Akron	549.666666666667	6	575.666666666667	6	1125.33333333333
Levi Clark	Memphis	576.909090909091	11	585.272727272727	11	1162.18181818182
Carli Cline	Citadel (W)	512.777777777778	9	538.777777777778	9	1051.55555555556
Austin Cock	Jacksonville St.	566.111111111111	9	579.090909090909	11	1145.20202020202
Ivel Collins	Rose-Hulman	0	0	0	0	0
Emiliano Concha-Toro	Army	568.111111111111	9	579.111111111111	9	1147.22222222222
George Conde	John Jay	502	1	520	1	1022
Ruthanne Conner	North Georgia	568.333333333333	12	577.666666666667	12	1146
Ethan Cook	Army	565	9	573.111111111111	9	1138.11111111111
Ashley Coots	UT Martin (W)	559.3	10	568.3	10	1127.6
Anika Corsi	Jacksonville St.	546.5	2	576.6	5	1123.1
Kyle Cox	Air Force	533	2	563	6	1096
Jared Crews	Nevada	0	0	0	0	0
Jay Cross	Columbus St.	0	0	0	0	0
Siarra Crum	Morehead St.	548.375	8	579.4	10	1127.775
Danielle Cuomo	Army	576.363636363636	11	586.636363636364	11	1163
Anthony Cuozzo	Ohio State	576.375	8	585.571428571429	7	1161.94642857143
Brigitte Curcio	UT Martin	563.1	10	578	9	1141.1
Selina Curren	Alabama Birmingham	553	2	560.6	5	1113.6
Matthew Davenport	Citadel	534.571428571429	7	561.333333333333	9	1095.90476190476
William Davidson	VMI	548	5	568.166666666667	6	1116.16666666667
Angelica Dearaujo	John Jay	529.714285714286	7	567	7	1096.71428571429
Andre Delcalzo	UT Martin	544.875	8	557.666666666667	3	1102.54166666667
Leighton Dempster	Memphis	566.833333333333	12	586.333333333333	12	1153.16666666667
Makennon Doran	Memphis	567.285714285714	7	579.166666666667	6	1146.45238095238
Meike Drewell	Murray St.	578.777777777778	9	586.25	8	1165.02777777778
Morgan Duerr	Kentucky	561.888888888889	9	578.888888888889	9	1140.77777777778
Jacob Dupree	Coast Guard	528	11	547.909090909091	11	1075.90909090909
Brandi Duzz	Citadel (W)	502.909090909091	11	549.636363636364	11	1052.54545454545
Liam Eberhart	Alaska Fairbanks	572.6	5	582.75	4	1155.35
Matthew Eckart	Rose-Hulman	0	0	0	0	0
Maggie Ehmann	Army	559.857142857143	7	576.125	8	1135.98214285714
Zach Eisenberg	North Carolina St.	561.888888888889	9	580.444444444444	9	1142.33333333333
Suzanne Eisenberger	Rose-Hulman	0	0	0	0	0
Kendal Elder	Ohio State	568.5	4	578	5	1146.5
Kealie Engels	Wofford	0	0	0	0	0
Maddy Erikson	Army	564.5	10	584.454545454546	11	1148.95454545455
Ben Estes	Murray St.	581.181818181818	11	589.6	10	1170.78181818182
Amberlie Ezell	Memphis	564.666666666667	9	578.7	10	1143.36666666667
Dacotah Faught	Nebraska	575.166666666667	12	592	12	1167.16666666667
Alex Fedorko	Akron	546.833333333333	6	562	5	1108.83333333333
Leah Fenwrick-Wallace	Citadel (W)	517.090909090909	11	557.272727272727	11	1074.36363636364
Joseph Ferguson	Citadel	522.285714285714	7	553.625	8	1075.91071428571
JS Fielding	Columbus St.	0	0	0	0	0
Lucas Figi	Navy	552.5	2	567	2	1119.5
Sarah Fink	Morehead St.	568.111111111111	9	577.666666666667	9	1145.77777777778
Joe Fischer	Morehead St.	570.4	10	576.7	10	1147.1
Amy Fister	Memphis	580.727272727273	11	584.272727272727	11	1165
Seth Flanagan	Wofford	519.6	5	547.285714285714	7	1066.88571428571
Lindsey Flint	UT Martin (W)	551.625	8	558.285714285714	7	1109.91071428571
Ian Foos	Kentucky	563.5	8	583.333333333333	9	1146.83333333333
Randall Ford	Coast Guard	544.090909090909	11	557.818181818182	11	1101.90909090909
